30052313
/m/0g58tv6
/m/0g58tv6
Richelle Mead
2011-08-23
a 48
abe 4
ability 2
able 2
about 6
accept 1
accompanied 1
accompany 1
acquaintance 1
across 1
actions 2
actually 1
addictions 1
admissions 1
admits 1
adrian 30
affections 1
affront 1
after 3
age 1
aid 2
aide 1
alchemist 7
alchemists 11
all 4
allowing 1
almost 1
alone 1
along 3
already 2
also 1
ambushed 1
amulet 5
an 9
and 51
angeline 1
angered 1
another 1
any 2
apartment 8
apologize 1
are 3
area 2
arm 1
arrival 1
arrive 1
arrived 1
arrives 1
arriving 1
art 1
artist 1
as 18
asking 2
asks 5
assistance 1
astonished 1
at 15
attack 4
attention 1
avoid 1
awaken 1
awakening 1
away 2
awoken 1
back 4
be 6
beach 2
because 4
become 2
becomes 1
been 12
before 2
being 6
believes 1
believing 1
belikov 1
berates 2
best 2
better 1
bicker 1
blood 6
boarding 1
body 2
bond 1
bonded 1
book 6
both 1
break 2
breaks 1
bronzecolored 1
burst 1
bursts 1
but 10
by 9
california 1
call 1
called 2
calls 3
campus 2
can 1
capable 1
career 1
castile 1
catches 2
caused 2
celestial 1
certain 1
chance 1
chanted 1
charge 2
charm 1
choices 1
claiming 2
claming 1
clarence 7
class 2
classes 1
clear 1
close 1
closer 1
closes 1
coffee 1
college 3
collegeage 1
comes 1
commands 1
confesses 1
confronts 2
connecting 1
connection 1
continue 1
continuously 1
contracted 1
converting 1
convinced 1
convincing 2
could 1
couple 1
court 3
cousin 1
crazy 1
curious 1
custody 1
cuts 1
date 1
day 1
days 1
dead 1
deal 1
death 1
debriefing 1
defeats 1
departure 1
despite 1
dhampir 4
dhampirs 1
different 1
dimitri 1
diner 1
disagrees 1
disappeared 1
discovers 1
disgusting 1
dissident 1
distracts 1
donahue 1
door 1
dorm 1
dragomir 1
drink 1
driving 1
during 2
eddie 7
effects 1
end 1
ends 1
enhance 1
enhanced 1
enrolled 1
escapes 1
et 1
euphoria 1
evade 1
evening 1
events 1
eventually 1
exchange 2
excluding 1
excursions 1
excuse 1
excused 1
explaining 1
extent 1
eye 2
fails 1
family 2
fashion 1
father 2
feeling 1
financial 2
find 7
finds 2
fire 1
first 2
five 1
flame 1
follow 1
football 1
for 14
forced 1
forever 1
former 2
freaked 1
friend 1
friendly 1
from 11
gathers 1
gave 2
get 2
gets 1
getting 1
girls 1
given 2
glass 1
go 2
goes 3
gold 1
good 1
got 1
graces 1
grant 1
great 1
group 2
had 9
handcuffs 1
hands 1
hangover 1
has 16
hathaway 1
have 8
having 1
he 12
heading 1
help 5
helping 3
her 33
hers 1
herself 4
hidden 1
hiding 1
higherups 1
him 10
himself 3
his 13
history 2
home 1
hope 2
hoping 1
horrified 1
hostages 1
house 4
how 1
however 1
humans 1
identical 1
illegitimate 1
imbue 1
in 23
including 1
infatuated 1
information 1
infuriated 2
innate 1
insistent 1
instead 4
intended 1
intentionally 1
interest 1
interested 2
interfering 1
interviews 1
into 9
is 36
it 7
its 1
ivashkov 1
jeopardized 1
jill 25
job 3
joining 1
just 1
justice 1
karp 1
keep 3
keeping 1
keeps 1
keith 17
kill 1
killed 3
killing 1
kills 1
knife 1
know 2
knowing 1
knowledge 1
known 1
knows 2
languages 1
last 3
lasting 1
late 1
later 1
latin 2
lead 1
leave 1
leaves 1
lee 13
left 3
let 1
life 2
like 1
likely 1
liquid 1
live 1
lives 1
local 3
location 1
long 2
look 1
looking 1
love 1
loves 1
made 2
magic 3
magical 1
make 1
makes 1
making 2
mark 1
may 1
mazur 1
meets 2
mentions 1
met 1
metallic 2
micah 2
middle 2
minigolfing 1
mission 2
modeling 1
moods 1
moroi 6
move 1
moving 1
named 2
near 1
neck 1
needle 1
negative 1
nevermore 5
new 2
niece 2
night 2
nightmares 1
nighttime 1
no 1
not 1
note 1
notes 1
now 1
obey 1
obsessed 2
of 27
off 1
offer 1
offers 3
office 1
old 2
older 3
on 16
one 2
only 4
other 4
others 1
out 4
over 1
own 1
paid 1
palm 4
performance 2
period 1
persuade 1
phenomenon 1
phone 1
phrase 1
place 4
point 1
pointing 1
pose 1
posing 1
possible 1
power 1
powers 1
predicament 1
prepare 1
prepared 1
prevent 1
previous 1
private 1
procedure 2
promoted 1
proof 1
properly 1
protect 1
providing 1
pulled 1
purse 1
queen 3
quickly 1
races 1
rape 1
raped 1
rare 1
reaction 1
read 1
realize 1
realizes 2
reason 2
reawaken 2
reawakened 1
reawakening 1
recalled 1
receive 2
recent 1
receptionist 1
recliner 1
reeducation 1
refuses 2
relationship 1
reports 1
repulsed 1
requests 1
research 2
residues 1
restored 3
restrains 1
retribution 1
return 1
returns 1
reveals 4
revisits 1
rival 1
rogue 1
room 1
roommate 2
rose 5
royal 1
rule 1
run 1
runs 1
rushed 1
safe 1
sage 1
saliva 1
same 2
saved 1
school 7
second 1
seeminglyuseless 1
sees 1
selling 1
senior 2
sense 1
serious 1
seriously 1
serve 1
several 5
shaky 1
she 22
show 1
shows 1
siblings 1
silver 1
siphoning 1
sister 6
situation 1
small 1
so 2
son 1
sonya 1
sour 1
special 1
speed 1
spending 1
spends 1
spirit 3
spirituser 2
sports 1
springs 4
stationed 1
stay 1
stayed 1
steel 1
still 1
story 1
strength 1
strigoi 14
stuck 1
students 2
succeeded 1
succeeds 1
suggested 1
suits 1
summarize 1
summoned 1
sunny 1
supplies 1
sydney 60
tagging 1
tailed 1
take 2
taken 1
takes 1
taking 2
talking 1
tamara 2
task 1
tattoo 2
tattoos 8
teacher 7
team 1
teammates 1
telling 1
tells 1
that 35
the 92
their 1
theirs 1
them 2
then 1
there 1
they 5
those 1
throne 1
through 1
throws 1
thrusts 1
ties 1
time 2
to 75
together 2
told 1
too 2
touchedup 1
trafficking 1
trainee 1
training 1
transferred 1
traumatized 1
trey 1
tries 2
trouble 2
true 1
truth 1
trying 2
turn 2
two 4
typing 1
unable 4
undergo 1
understands 1
unfortunately 1
unintentionally 1
unknown 1
unties 1
up 1
upset 1
used 1
user 1
users 1
uses 1
using 2
vampire 5
vampirehunters 1
vampires 2
vasilisa 1
very 1
vials 1
visiting 1
want 1
wanting 1
wants 1
was 8
watch 1
waterfall 1
wateruser 1
way 2
wear 1
weeks 1
well 5
were 1
what 1
when 9
where 2
whether 1
which 2
while 7
who 11
whose 1
why 1
will 2
wishes 1
with 26
woken 1
women 3
wonders 1
words 1
world 1
worrying 1
would 1
writing 1
year 1
years 1
younger 1
zoe 4
