7326269
/m/025z7w8
/m/025z7w8
Sara Douglass
1997
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
achar 1
acharites 1
action 1
actually 1
affair 1
aids 1
all 1
allowing 1
also 1
amount 1
an 7
ancient 1
and 20
antagonist 1
are 2
arrives 1
arrogant 1
as 7
assaulted 1
at 1
axis 5
azhure 2
balance 1
because 1
becomes 1
been 1
beings 1
between 1
biological 1
blackmail 1
blame 1
block 1
blood 1
body 3
book 2
both 2
bread 1
brother 5
brutally 1
by 1
caelum 9
calm 1
cannot 1
cause 1
causes 1
child 1
children 1
chooses 1
committed 1
committing 1
constantly 1
containing 1
control 1
creates 1
crime 4
crusader 1
dangerous 1
dark 1
deadly 1
defeated 1
destroy 1
details 1
discovers 1
displacing 1
distrusted 1
drago 9
eloped 1
empowered 1
engaging 1
era 2
escape 1
even 1
eventually 3
expelling 1
experienced 1
extent 1
fact 2
false 2
faraday 1
father 1
fellow 1
finds 2
finger 1
first 1
five 1
flees 1
focuses 1
forbidden 1
force 1
former 1
forty 1
from 3
full 1
fully 1
gate 3
gorgrael 2
grandfather 1
great 1
growing 1
has 3
have 1
hawks 1
he 8
heaping 1
help 1
her 7
heritage 1
him 4
himself 2
his 14
host 1
however 6
icarii 3
ie 1
illegally 1
images 1
implicates 1
imposes 1
in 11
incarnation 1
infant 1
insane 1
insecure 1
instead 1
is 13
it 3
kidnap 1
king 1
known 1
land 1
leagh 1
leave 1
leaves 1
leaving 1
less 1
life 1
likeness 1
literally 1
lose 1
lover 1
magic 1
maintain 1
majority 1
making 1
many 1
matters 1
meanwhile 2
memory 1
mortal 3
most 1
mother 2
much 1
murdering 2
murders 1
names 1
narrated 1
near 1
newly 1
niah 3
no 1
none 1
north 1
northern 1
not 4
novel 1
oasis 1
odd 1
of 23
offer 1
old 1
one 1
only 1
order 1
other 1
outside 1
own 1
past 2
peace 2
peoples 1
perfect 2
perspective 1
pointed 1
power 1
powerful 1
powers 1
pregnant 1
princess 1
problem 1
proceeding 1
process 1
promise 1
proves 1
province 2
provinces 1
punishment 1
pursues 1
racial 1
rage 1
rather 1
rebirth 1
recollection 1
relationship 1
remember 1
replacing 1
resurrection 1
return 1
returns 1
revealed 1
revolting 1
rise 2
riverstar 1
rivkah 1
rule 1
ruler 3
rulers 1
same 1
seeking 1
selects 1
sensation 1
series 1
share 1
shatter 1
she 1
since 1
sister 8
son 1
soul 2
star 3
starman 1
starson 1
steal 1
sterile 1
stripped 1
struggles 1
surprised 1
tencendor 3
tensions 1
than 1
that 4
the 46
then 1
they 2
third 2
this 5
threatens 1
through 1
timekeepers 1
to 14
too 1
transpired 1
treason 1
united 1
universe 1
unpleasant 1
unpopular 2
until 3
untried 1
unveiled 1
upon 4
use 1
various 1
view 1
walked 1
was 1
weak 1
western 1
what 1
when 3
whenever 1
which 2
while 1
who 3
wife 1
with 9
within 1
wolfstar 5
woman 1
world 4
worsen 1
xenophobic 1
years 1
younger 1
zared 2
zenith 4
