6598218
/m/0gd5hl
/m/0gd5hl
Michael Cox
2006-09-07
{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction"}
1854 1
a 7
after 1
an 1
and 5
as 2
at 1
back 1
beginning 1
between 1
book 2
cold 1
confession 1
connection 1
consequences 1
country 1
crime 1
dark 1
daunt 2
death 1
deceit 1
does 1
edward 3
enchanting 1
evenwood 1
examines 1
finds 1
foggy 1
followup 1
formative 1
further 1
glapthorn 1
glass 1
glyver 5
hands 1
has 3
he 3
him 1
his 3
house 1
in 4
innocent 1
know 1
london 1
love 1
lover 1
man 1
manor 1
masquerading 1
meaning 2
moves 1
murder 1
narrator 1
night 3
not 1
novel 1
now 1
october 1
of 7
on 1
passageway 1
phoebus 1
place 1
poetcriminal 1
protagonistnarrator 1
pursuit 1
rainsford 1
reader 1
recounting 1
reveals 1
revenge 2
rival 1
scholar 1
setting 1
special 1
spent 1
stabs 1
story 1
streets 1
suffered 1
takes 1
tale 1
the 14
then 1
time 1
to 3
torment 1
tracks 1
turned 1
twenty 1
where 1
which 1
whom 1
why 1
with 1
years 2
