9357661
/m/0285sr7
/m/0285sr7
MaryJanice Davidson
2004-05
{"/m/01qxvh": "Romance novel"}
a 7
added 1
after 1
al 2
alexander 1
alexandria 1
and 4
as 1
attracted 1
be 1
become 1
becomes 1
becoming 1
begins 2
being 2
belongs 1
bluntness 1
but 1
candor 1
chair 1
christina 6
collection 1
david 3
during 1
end 1
eventually 3
family 3
father 1
find 1
fired 1
fishing 1
fondness 1
for 1
from 1
has 1
he 1
her 2
his 5
ii 1
in 4
interested 1
is 8
it 2
job 1
kidnappers 1
kidnapping 1
killing 1
king 3
krabbe 1
let 1
looking 1
man 1
meet 1
meets 1
member 1
months 1
more 1
next 1
of 4
one 1
order 1
out 1
part 1
penguins 1
plot 1
pregnant 1
prince 1
recovering 1
relationship 1
remain 1
results 1
revealed 1
royal 2
see 1
seems 1
set 1
she 3
shot 1
son 2
stress 1
stressed 1
take 1
that 3
the 9
therapist 1
they 1
through 1
time 1
to 9
together 1
trying 1
turns 1
two 1
up 1
wed 1
when 1
where 1
while 1
who 1
wife 1
with 2
woman 1
work 1
