32131541
/m/0gwzkd_
/m/0gwzkd_
Amitav Ghosh
2011-06-18
a 4
after 1
and 4
as 1
backgrounds 1
be 1
before 1
begins 1
but 1
by 1
can 1
caught 1
changing 1
characters 2
china 2
chinese 1
common 1
cultural 1
describes 1
details 1
ended 1
eventually 1
fanqui 1
fate 1
few 1
first 1
follows 1
foreigners 1
from 4
geographical 1
has 1
ibis 2
in 6
incidents 1
indian 1
interest 1
is 2
it 1
land 1
left 1
less 1
lives 1
local 1
mauritius 2
migrants 1
novel 3
of 5
off 1
on 1
opium 2
other 1
passengers 1
plot 1
promotional 1
refers 1
rich 1
set 1
small 1
storm 1
story 1
storyline 1
strip 1
summarized 1
tapestry 1
text 1
the 12
this 1
to 2
towna 1
traces 1
trade 3
traders 1
traditions 1
up 1
used 1
various 1
war 1
was 1
where 1
which 2
whose 1
with 3
year 1
