32221608
/m/0gy083y
/m/0gy083y
Alan Warner
2010
a 3
agreed 1
airport 3
and 4
apparent 1
are 2
at 2
ava 1
bars 1
becomes 1
before 1
booking 1
characters 1
chell 1
class 1
confined 1
days 1
deal 1
destination 1
do 1
explored 1
finn 1
for 1
friendship 1
gatwick 1
go 1
group 1
has 1
have 2
her 1
hindered 1
holiday 1
in 2
interactions 1
is 1
it 1
joint 1
kay 1
kylah 1
lastminute 1
london 1
lost 1
lounges 1
lowcost 1
main 1
manda 2
met 1
much 1
narrative 1
not 1
of 1
on 1
passport 1
place 1
plan 1
planning 1
several 1
so 1
social 1
starts 1
story 1
takes 1
that 2
the 7
themes 1
they 1
this 1
through 1
to 3
upon 1
when 1
where 1
yet 1
