9271964
/m/0282j5d
/m/0282j5d
Philip Roth
1981
16 1
a 2
acclaim 1
achieved 1
among 1
analogy 1
and 3
be 1
been 1
both 1
by 1
can 1
carnovsky 1
character 1
comingofage 1
compared 1
complaint 1
debate 2
details 1
differs 1
events 1
extent 1
fame 1
fiction 2
from 1
has 3
himself 1
his 2
hoopla 1
in 5
including 1
interviews 1
jamesian 1
life 1
meteoric 1
notoriety 1
novel 3
of 5
on 1
parallels 1
portnoy 1
previously 1
publication 1
readers 1
real 1
remarkably 1
romp 1
roth 5
safely 1
several 1
sex 1
subject 1
surrounded 1
that 2
the 8
those 1
to 2
unbound 1
wake 1
weighed 1
which 2
with 1
within 1
zealous 1
zuckerman 4
