1114779
/m/0478bz
/m/0478bz
Zadie Smith
2000-01-27
10yearold 1
175 1
47yearold 1
a 22
accept 1
actions 1
after 4
aftermath 1
against 1
age 1
all 1
along 1
alsana 2
also 1
although 1
always 1
an 5
and 24
angry 1
animal 1
archie 4
are 5
arranged 1
as 12
assistant 1
at 2
atheist 1
attempting 1
attraction 1
away 1
background 1
bangladesh 2
be 2
become 1
becomes 3
been 2
befriended 1
begin 1
beginning 1
begins 1
beliefs 2
believe 1
believes 1
blindness 1
born 1
both 1
boys 2
briefly 1
brilliant 1
britain 1
brotherhood 1
brothers 1
but 3
by 5
cambridge 1
cannot 1
car 1
causes 2
chalfen 2
chalfens 3
chance 1
change 2
changes 1
character 1
characters 1
child 1
clara 4
closer 1
coalesce 1
coin 1
comes 1
commit 1
complete 1
conflict 1
connections 1
consequences 1
continually 1
controversial 1
cultural 2
daughter 1
day 1
demonstrate 1
desire 1
despite 1
devotes 1
devotion 1
devout 1
different 1
difficulties 1
disappointment 1
disturbed 1
divergent 1
drinking 1
earlier 1
econd 1
educated 1
effects 1
emigrated 1
english 1
enthusiasm 1
entirely 1
eternal 1
eve 1
eventually 1
evil 1
exboyfriend 1
expense 1
extent 1
extraordinary 1
families 1
family 3
fate 1
father 2
filled 1
finalethe 1
finds 1
flips 1
follow 1
for 4
fresh 1
from 4
fundamentalist 1
futuremouse 3
gassing 1
geneticist 1
grave 1
group 1
groups 1
grow 2
grows 1
happening 1
has 5
have 2
haven 1
he 6
heal 1
her 6
him 3
himself 1
his 9
home 1
hope 1
hortense 1
housewife 1
however 1
identical 1
ignorance 1
ignored 1
ii 1
in 7
inept 1
intellectual 1
intellectuals 1
intelligent 1
interference 1
interruption 1
intertwine 1
into 1
introduced 1
involved 1
iqbal 1
irie 5
ironically 1
is 13
islam 2
islamic 1
it 2
italian 1
jamaican 1
jehovah 2
jewishcatholic 1
jones 2
josh 2
joyce 1
just 1
keepers 1
kevin 2
kevininspired 1
known 1
later 1
left 1
liberals 1
life 3
literally 1
lives 3
longhidden 1
longkept 1
losing 1
love 1
low 1
magid 7
main 1
makes 1
man 1
marcus 3
marriage 2
married 2
meets 1
millat 10
mind 1
minutes 1
misguided 1
moral 1
mother 5
much 1
muchyounger 1
muslim 1
narrative 1
nation 1
new 2
novel 1
of 21
often 2
on 4
oppose 1
or 1
out 1
own 4
parents 1
part 1
parttime 1
party 1
past 1
paths 1
plan 1
pregnant 1
product 1
project 1
properly 1
provides 1
quite 1
radical 1
rebel 1
rejected 1
religious 1
research 1
result 1
returned 1
revelatory 1
right 1
rights 1
rocky 1
runs 1
safe 1
samad 4
same 1
science 1
second 1
secret 1
seemingly 1
sees 1
selfconfidence 1
sends 1
she 2
sleeping 1
socially 1
some 1
son 3
soon 1
stop 1
stories 1
story 1
strands 1
strict 1
stunning 1
succeeds 1
suicide 1
symbolically 1
sympathy 1
teachings 1
than 1
that 3
the 36
their 5
themselves 1
then 1
there 1
they 4
this 3
thought 1
to 20
too 1
tormented 1
traditional 1
troublesome 1
turbulent 1
twin 1
twins 1
two 2
under 2
understand 1
union 1
unsure 1
unveiling 1
up 2
upon 1
very 1
victorious 1
virginity 1
walked 1
war 1
warring 1
was 1
way 1
we 1
what 1
when 2
whereas 1
while 1
who 4
whose 3
wife 1
will 1
wish 1
with 7
witness 2
woman 1
womanizing 1
working 2
works 1
world 1
year 2
younger 1
