6116738
/m/0fqyvb
/m/0fqyvb
Janet Evanovich
2006-06-20
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 6
actually 1
after 2
and 11
apartment 1
armed 1
arrives 1
as 4
attacks 1
attempting 1
bad 1
barnhart 1
be 1
been 2
before 1
begins 1
being 2
bomb 3
bounty 1
boyfriend 1
business 1
but 2
by 1
capture 1
carmen 3
caught 1
chair 1
claiming 1
come 1
complete 1
constructs 1
convinces 1
couch 1
daughter 2
door 1
drugged 1
drugs 1
edward 1
empty 1
ensues 1
escaping 1
even 1
exploded 1
fact 1
family 1
far 1
fellow 1
finally 1
find 2
finds 1
foot 1
for 3
from 1
fta 3
gets 1
going 1
hands 1
has 2
having 1
he 5
her 7
herself 1
him 4
his 5
hospital 1
however 1
hunter 1
identity 1
in 4
intimate 1
is 8
it 4
joe 1
joyce 2
julie 4
kept 1
kidnap 1
kidnapped 1
kidnaps 1
kill 1
kills 1
learns 2
leaves 1
life 1
loves 2
man 1
manages 1
manoso 1
married 1
money 3
more 1
morelli 4
named 1
needs 1
negotiate 1
nemesis 1
new 1
novel 1
occasionally 1
of 3
off 2
old 1
on 3
once 1
one 1
opens 1
out 2
over 1
own 1
paramedics 1
plan 1
police 1
prevent 1
prime 1
progresses 1
ran 1
ranger 9
return 1
returns 1
rip 1
road 1
robbery 1
rushed 1
scrog 9
she 4
shoots 2
shot 1
so 2
stalked 1
start 1
steal 2
stephanie 14
story 1
struggle 1
stunguns 2
suspect 1
tapes 1
tells 1
that 5
the 20
then 1
there 3
they 1
ties 1
to 17
together 1
too 2
tossed 1
town 1
trailer 1
try 2
turns 1
up 3
wakes 1
wanted 1
way 1
were 1
when 3
where 2
who 1
whom 1
wife 1
with 3
woman 1
worn 1
