11934932
/m/02rypn2
/m/02rypn2
Frederic Tuten

a 3
also 1
an 1
and 4
arrangement 1
as 3
certain 1
character 1
composed 1
conventional 1
disparate 1
elaborate 1
elements 1
faulkner 1
fictionalized 1
from 1
has 1
hemingway 1
history 1
includes 1
including 1
interview 1
is 1
kerouac 1
large 1
linear 1
long 1
main 1
mao 2
march 1
more 1
mostly 1
no 1
novel 3
novelistic 1
of 5
parodies 1
plot 1
presents 1
quotes 1
scenes 1
seemingly 1
selection 1
several 1
sources 1
straightforward 1
the 5
unattributed 1
various 1
well 1
with 2
writers 1
