5548191
/m/0dr_st
/m/0dr_st
Armistead Maupin
2000
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
11 1
13yearold 1
a 7
abuse 1
according 1
adopted 1
age 1
aids 1
and 12
another 1
apparently 1
are 2
around 1
at 2
author 1
away 1
beating 1
been 1
begins 1
being 1
boy 3
brought 1
by 3
calls 1
cared 1
caring 1
claims 1
contacts 1
develop 1
does 1
donna 2
eight 1
embellishment 1
ends 1
even 2
eventually 1
exchanging 1
exist 1
fabrications 1
father 2
fatherson 2
feeling 1
for 2
four 1
from 1
gabriel 3
galleys 1
gay 1
has 1
have 2
he 4
him 7
his 9
home 1
homes 1
important 2
in 4
inconclusive 1
infected 1
intimate 1
into 2
involved 1
is 4
jailed 1
jess 1
keep 1
kind 1
latenight 1
lomax 2
lover 1
memoir 3
millions 1
more 1
most 1
mother 1
named 1
nature 1
noone 4
not 2
novel 2
of 9
old 1
or 1
parents 2
partner 1
pete 3
peter 1
phone 1
pimping 1
pornographic 1
power 1
psychologist 1
publisher 1
radio 1
ran 1
raped 1
real 1
recently 1
relationship 2
relationships 3
revolve 1
secrets 1
selling 1
sends 1
separated 1
series 1
sessions 1
sexual 1
start 1
started 2
stories 1
struggle 1
subplots 1
suspect 1
tapes 1
ten 1
than 1
that 4
the 17
their 1
themes 1
they 1
to 5
took 1
truth 1
two 1
value 1
victim 1
videotaped 1
videotapes 1
visit 1
was 2
we 1
were 1
when 2
whether 1
whose 1
with 4
writer 1
written 1
years 2
