23896488
/m/076wx_0
/m/076wx_0
Richelle Mead
2007-08-16
a 13
aaron 1
ability 1
able 2
academy 2
accident 2
accidentally 1
act 1
affinity 1
after 3
against 1
age 1
agrees 1
air 1
allowed 1
allows 1
along 2
already 1
also 4
among 1
an 2
and 28
animals 2
anna 1
another 1
any 1
are 2
as 1
assault 1
assigned 1
attending 1
attic 1
attraction 1
away 4
back 4
be 6
because 3
been 1
being 2
believes 1
belikov 1
bleeding 1
bond 6
break 3
bringing 1
brought 1
but 2
by 11
calling 1
can 2
cannot 1
catching 1
caused 2
causes 2
causing 2
charm 1
charmed 1
christian 4
church 1
companion 1
company 1
confined 1
convinces 1
could 1
cousin 1
cuts 1
dangerous 1
dashkov 2
dating 1
daughter 1
day 1
dead 2
decide 1
deduces 1
default 1
depression 4
detained 1
difference 1
dimitri 7
discovering 1
disease 1
doing 1
dragomir 1
due 1
dying 1
earth 1
element 1
elemental 1
emotions 1
ends 1
engages 1
ever 1
every 1
exboyfriend 1
excellent 1
existing 1
fall 1
falling 1
family 1
feeding 1
feels 2
fifth 1
find 3
finds 7
fire 1
first 1
follow 1
for 7
form 1
free 1
friend 1
friendship 1
from 6
genetic 1
gets 1
getting 1
gift 1
gifted 1
go 2
going 1
graduation 1
grudge 1
guard 1
guardian 6
guardians 5
had 7
has 7
hathaway 1
have 2
having 1
he 11
heal 4
healed 1
heals 1
hears 1
her 24
him 4
his 3
history 1
holds 1
if 1
immortality 1
implied 1
in 11
incident 2
increasing 1
inhibitions 1
injures 1
instead 1
institution 1
insult 1
insulted 1
insults 1
interest 1
into 3
ire 1
is 18
it 4
jealous 1
just 1
karp 2
keep 1
kidnapped 2
killed 2
killing 1
kissed 1
know 1
knowing 1
later 1
latter 1
leader 1
left 1
letters 1
letting 1
life 1
lissa 28
locket 2
lost 2
loyal 1
lust 1
lying 1
magic 1
make 1
manages 1
mental 1
mentor 1
mia 4
might 1
miraculous 2
mistrusts 1
moroi 4
ms 2
much 1
mutilation 1
natalie 4
near 1
nearly 1
neck 1
nose 1
not 1
of 12
offers 1
on 8
one 2
onesided 1
only 1
opportunity 1
other 1
out 3
owing 1
own 1
ozera 1
parents 1
people 2
place 1
plans 1
potential 1
presence 1
previously 1
princess 1
protected 1
protective 1
psychic 1
punch 1
rare 2
reach 1
reaches 2
recovery 1
relationship 1
remain 1
reporting 1
rescue 1
retrieve 1
returning 3
revealed 2
reveals 3
rinaldi 1
room 3
rose 22
rosemarie 1
royals 1
run 1
running 2
saint 1
save 1
school 2
see 1
self 1
selfinflicted 1
sent 1
service 1
sex 1
shadow 1
shared 2
she 11
shopping 1
sick 1
slight 1
so 1
social 1
some 2
somehow 1
soon 1
specialized 2
spirit 3
st 2
standing 1
start 1
starts 2
stop 1
strigoi 2
student 1
suffered 1
sunday 1
taken 1
teacher 1
teachers 1
team 1
tells 1
that 18
the 28
their 5
them 2
then 1
they 6
things 1
this 5
though 3
thoughts 1
threatened 1
threatening 1
through 2
throw 1
time 1
to 31
too 1
training 3
tries 2
trip 1
turn 3
turned 1
two 3
unable 1
unclasps 1
undead 1
unstable 1
up 3
use 1
using 1
vampires 1
vasilisa 1
very 1
victor 8
visiting 1
vladimir 2
waking 1
warn 1
was 8
water 1
way 1
what 4
when 3
whereabouts 1
which 3
while 3
who 8
wholeheartedly 1
whom 1
will 2
with 10
witnessed 1
wont 1
worse 1
years 3
