15062031
/m/03hg58w
/m/03hg58w
Robert Silverberg
1968
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0l67h": "Novella"}
a 6
ability 2
alien 1
along 1
an 1
and 6
apart 1
appear 1
are 1
as 1
be 1
becomes 1
belongs 1
but 1
called 1
capabilities 1
castebased 1
changeling 1
character 1
cities 1
city 1
decadent 1
defenders 1
distant 1
divided 1
do 1
each 1
engineering 1
entangled 1
equipment 1
event 1
events 1
few 1
flier 1
fliers 1
fly 1
for 1
from 1
future 1
genetic 1
girl 1
great 1
greatness 1
guild 1
guilds 2
have 2
having 1
he 1
humanity 1
in 4
including 1
inform 1
inhabitants 1
instance 1
into 1
invasion 2
is 4
jerusalem 1
job 1
jorslem 1
main 1
members 1
mental 1
mentioned 1
mission 1
no 1
novella 1
of 4
old 1
only 2
other 1
paris 1
perris 1
possibility 1
previously 1
relative 1
rome 1
roum 2
skies 1
some 2
sophisticated 1
specific 1
stars 1
suspected 1
the 10
their 2
they 1
thousand 1
to 9
two 1
undergone 1
use 1
visits 1
watch 2
watcher 1
watchers 1
who 1
whose 1
with 2
young 1
