4248247
/m/0bs70t
/m/0bs70t
Isobelle Carmody
1993
a 8
abattoir 1
about 1
accidentally 1
all 1
also 1
an 3
and 16
apparently 1
are 3
arrival 1
as 4
battle 1
be 1
becomes 3
been 2
beginning 1
begins 1
believes 1
between 3
binding 1
bitter 1
boy 1
brought 1
brutish 1
by 6
can 1
caught 1
causes 1
centrally 1
chain 3
chapters 1
cheshunt 3
chosen 1
citing 1
clan 1
clear 1
community 1
complex 1
conformity 1
cooperation 2
credited 1
cynicism 1
danny 1
dark 3
declines 1
deep 2
delaney 1
demons 1
discovers 1
dislike 1
dislikes 1
divorce 1
does 1
dog 1
each 1
encourage 1
environment 1
events 1
everywhere 1
evil 3
fellow 1
fight 1
final 2
forces 1
fourth 1
frequently 1
friendship 1
from 1
gathering 2
goes 1
good 1
gradually 1
grand 1
group 4
guide 1
hamlet 1
have 3
he 4
headed 1
hence 1
heralds 1
high 1
him 1
his 11
history 1
home 1
human 1
immediately 1
in 7
including 1
indian 1
individualism 1
individuality 1
ineptitude 1
informed 1
inner 1
invites 1
is 8
issue 1
its 1
jerome 1
join 2
karle 2
known 1
kraken 1
lack 1
lallie 1
learns 1
light 2
mahoney 1
many 2
meeting 1
member 1
members 2
more 2
most 2
mother 2
moving 1
mr 2
narrated 1
nathanial 10
nature 1
night 1
nissa 1
north 2
not 2
novel 3
odin 1
of 14
on 2
one 1
orders 1
overcomes 1
parallels 1
parents 1
past 2
patrol 2
paul 1
personal 1
place 1
portrayed 1
prefect 1
present 1
primary 1
principal 1
prophetic 1
questioned 1
quiet 1
reasons 1
recent 1
refer 1
relationship 1
resentment 1
role 1
school 4
seaside 1
seeing 1
selfconfessed 1
seth 1
showdown 1
signs 1
since 1
situation 1
smell 1
social 1
soon 1
stable 1
stench 1
story 2
strained 1
strongly 1
struggle 1
student 1
students 1
studying 1
stumbles 1
takes 1
teenage 1
tell 1
tension 1
than 1
that 4
the 36
their 4
themes 1
there 1
they 4
this 1
three 3
throughout 2
to 6
together 1
town 3
uncovers 1
under 1
victimised 1
vs 2
walking 1
when 1
where 1
which 3
while 1
whom 1
wind 1
with 2
youth 1
