24617147
/m/080b896
/m/080b896
Charlaine Harris
2010-05-04
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 12
able 1
adolescent 1
after 1
agitating 1
alcide 1
alexei 5
all 1
almost 1
also 1
an 2
and 25
another 1
anticipatory 1
anxiety 1
any 1
appius 4
are 3
arrested 1
as 5
ask 2
assassins 1
at 3
attacks 1
attempt 1
attempting 1
attends 1
avoids 1
baby 1
babysit 1
basim 1
battle 1
be 4
bear 1
because 2
been 2
begins 2
being 2
believing 1
better 1
bill 13
blames 1
blood 3
bloodthirsty 1
bobby 1
body 1
bolshevik 1
book 1
boss 1
brother 2
build 1
buried 1
burnham 1
but 5
by 7
called 1
calvin 1
can 1
cant 1
carelessly 1
carrying 1
certain 1
claiming 1
claude 2
claudette 1
claudine 3
cold 1
colman 3
comes 1
coming 1
companion 1
company 1
contact 2
contacts 1
continues 1
control 1
controlled 1
converge 1
cousin 2
coworkers 1
cured 1
czar 1
dating 1
day 1
dead 3
deals 1
death 2
deceased 1
demented 1
dermot 2
developed 1
draining 1
emotional 1
emotionally 1
entire 1
eric 9
erics 2
errant 1
fairies 2
fairy 1
family 4
father 1
fears 1
felicia 1
finally 1
for 7
forces 1
former 1
found 1
free 1
friend 1
from 6
furor 1
getting 1
girlfriend 1
going 1
gone 1
got 1
government 1
had 1
hadley 1
halffae 1
hands 2
happily 1
has 6
hates 1
have 1
having 3
he 9
heal 1
health 1
heat 1
help 3
helps 1
her 17
him 6
himself 2
his 5
house 1
however 1
hunter 2
idea 1
if 1
in 10
including 1
instead 1
into 1
is 11
jannalynn 1
jason 1
judith 6
kill 5
killing 2
kills 5
last 2
late 1
learn 1
learning 1
learns 3
life 1
lifemdasheric 1
live 1
livius 2
lochlan 2
lorena 4
lover 1
mad 2
made 3
major 1
maker 2
man 1
may 1
meanwhile 2
merlotte 1
michele 1
mothering 1
neave 3
new 2
news 1
norris 1
not 1
novel 1
now 1
nuances 1
ocella 1
of 19
on 2
only 2
or 1
order 1
other 2
out 3
overjoyed 1
own 1
pack 2
pam 3
part 1
people 2
perceives 1
physically 1
placate 1
played 1
please 1
poisoning 1
posttraumatic 1
prevent 1
previous 1
problems 2
property 2
quickly 1
raised 1
rapport 1
rather 1
realizes 1
reasoning 1
reasons 1
received 1
recover 1
recovering 1
refuses 1
refusing 1
registration 1
relationship 1
rescued 1
resembled 1
resort 1
restore 1
result 1
reveals 1
revenge 1
revolution 1
romanov 1
russia 1
sake 1
sam 2
sammdashare 1
sanity 1
second 1
see 1
seeing 1
seeking 1
seeks 1
seem 1
seems 1
selfdefense 1
sends 1
serves 1
settled 1
she 11
shows 1
shreveport 1
sibling 2
silver 1
slaughter 1
so 1
social 1
solid 1
son 2
sookie 16
sookies 1
sought 1
spell 1
stackhouse 1
state 1
still 3
stories 1
stress 1
struggles 3
success 1
suffering 1
suffers 1
sullen 1
surveillance 1
suspect 1
system 1
teeth 1
telepathic 2
than 1
that 7
the 37
their 1
them 1
they 1
threat 1
to 24
too 1
torture 2
torturers 1
towmdashhe 1
trial 1
triplets 1
two 1
twonatured 2
ultimately 2
uncle 1
under 1
unidentified 1
unknown 1
up 1
upon 2
vampire 3
vampiric 1
vardamon 1
via 1
victor 3
viking 1
visit 1
wandering 1
wanting 1
wants 2
was 4
were 2
weres 1
when 2
where 1
while 1
who 4
why 1
wife 1
with 9
without 2
witnessed 1
wont 1
would 1
young 1
