2930806
/m/08ddz5
/m/08ddz5
Harry Turtledove
1998-03
a 1
and 8
angry 2
are 2
as 2
at 1
becomes 1
by 1
character 1
cities 1
city 2
developed 1
does 1
each 1
engibil 2
find 1
for 2
gibil 3
god 1
gods 3
gotten 2
has 1
have 4
his 2
however 1
in 2
inhabitants 1
it 1
keep 1
land 1
lazy 1
lose 1
main 1
merchant 1
monitor 1
not 1
novel 1
of 2
other 1
out 1
own 1
power 1
problem 1
reasons 1
refuse 1
regions 1
respect 1
ruled 1
sharur 1
smelting 1
solve 1
started 2
such 2
task 1
technology 1
the 11
their 1
themselves 1
they 1
to 6
trade 1
travel 1
try 1
why 1
with 1
writing 1
