7800262
/m/026dg3p
/m/026dg3p
Ken McGoogan
2002-04
{"/m/017fp": "Biography"}
1765 1
1833 1
1845 1
1854 1
6555 1
6700 1
a 4
accomplishments 1
adventure 1
aided 1
ambition 1
among 1
and 10
arctic 5
as 3
at 4
bay 2
be 1
became 1
become 1
before 1
best 1
boats 1
both 1
british 1
brought 2
building 1
by 1
cannibalism 1
centre 1
century 2
charles 1
company 1
consummate 1
controversies 1
crew 1
despite 1
dickens 1
discover 1
discovered 2
discoveries 1
doctor 1
down 1
drawing 1
dying 1
ease 1
eclipse 1
edge 1
efforts 1
empire 1
england 1
enlisted 1
equanimity 1
erasure 1
even 1
expect 1
expedition 2
exploration 1
explorer 2
explorers 2
factory 1
fatal 2
fate 2
final 1
firestorm 1
first 3
for 1
formidable 1
found 1
franklin 3
from 2
generation 1
gifted 1
gone 1
great 2
greatest 1
had 3
handful 1
hardy 1
he 4
help 1
high 1
him 2
himself 1
his 4
history 1
hoping 1
hudson 2
hunter 1
ice 1
idea 1
imperial 1
in 10
incredible 1
islands 1
john 3
ken 1
key 1
lady 1
last 1
learn 1
life 1
link 1
little 1
london 1
lost 1
mcgoogan 1
meeting 1
members 1
miles 3
moose 1
mtis 1
much 1
mysteries 1
native 2
navigable 1
news 1
nineteenth 2
nineteenyearold 1
northern 1
northwest 2
of 25
off 1
official 1
on 2
one 2
only 1
orchestrated 1
orkney 1
own 1
passage 4
people 1
peoples 1
race 1
rae 8
raised 1
record 1
remarkable 1
rooms 1
sail 2
sailed 1
sailor 1
scotland 1
scots 1
set 2
sets 1
sir 1
skills 1
small 1
snowshoes 1
solved 1
starvation 1
story 1
straight 1
successful 1
survey 1
survival 1
survivors 1
tale 1
tells 1
territory 1
that 2
the 34
these 1
to 5
travel 1
traveler 1
true 1
two 1
ultimately 1
uncharted 1
upon 1
was 1
were 1
what 1
when 1
which 1
who 2
wilderness 1
windswept 1
winter 1
with 2
work 1
would 3
wrath 1
