25448973
/m/04w6ls3
/m/04w6ls3
Josiah Henson
1849
1 1
100 3
1000 1
12 1
15 2
178 1
18 1
182 1
1825 3
1828 4
1830 1
22 1
275 1
28 1
350 1
36 1
40 1
450 1
80 1
a 65
able 2
about 6
abundance 1
acknowledged 2
across 1
added 2
adjust 2
advertisement 3
advice 1
affairs 1
after 11
afterward 2
again 3
age 2
agreed 5
all 5
allowed 2
along 1
also 3
although 1
ambushed 1
americans 3
amos 9
an 10
and 82
anecdote 1
announcement 1
another 2
answer 1
any 1
anyone 1
anything 1
april 1
are 1
arms 1
around 3
arranged 1
arrived 2
arriving 1
as 21
asked 5
assaulted 1
assaulting 1
associates 1
at 18
athletic 1
athleticism 1
attend 2
attendance 1
attended 1
authentic 1
authenticate 1
awakening 1
aware 1
away 4
axe 2
back 9
be 9
beat 1
beaten 3
beating 1
became 5
because 4
become 1
been 5
before 2
began 6
begged 3
begin 1
begins 2
being 2
believed 2
belonged 1
belonging 1
belongs 1
best 1
better 2
big 1
black 1
blacks 1
bloody 1
boat 1
book 1
born 1
bought 2
bound 1
boy 2
breakfast 1
bring 1
broke 1
brother 3
brothers 1
brought 1
buckets 1
buffalo 2
but 8
buy 3
buying 1
by 21
came 3
canada 2
capacity 1
captain 2
cared 1
carried 1
carry 1
case 1
cash 2
certificate 2
change 1
changed 1
charles 1
chief 2
children 5
christ 1
christian 1
church 1
cincinnati 1
cleaning 1
clever 1
cloth 1
clothes 1
coarse 1
cold 1
colony 1
comfortable 1
commit 1
committed 1
common 1
companions 1
complied 1
concerned 1
conditions 1
conference 1
confronted 1
consequence 1
consisted 1
continued 3
convincing 1
corn 2
costs 1
could 10
country 1
county 1
court 1
create 1
created 1
crime 1
crops 1
curiosity 1
cut 1
dampness 1
dangerous 1
daviess 1
day 9
daylight 1
days 3
death 1
decencies 1
decided 4
delight 1
describe 1
description 1
desperate 1
destroy 1
determined 1
dictation 1
did 1
died 3
different 1
difficulty 1
dinner 1
direction 1
discusses 1
divided 1
do 1
doctors 1
doing 1
dollars 1
done 1
dr 4
drinking 1
drowning 1
drunk 1
due 1
during 2
duty 2
ear 1
earliest 1
eat 2
economic 1
efficient 1
efforts 1
eldest 1
else 1
encountered 2
end 1
energy 1
enlist 1
enough 3
enslaved 1
enterprise 1
entertained 1
entire 3
episcopal 1
erie 1
escape 2
even 6
evenings 1
event 1
events 1
eventually 8
ever 1
every 3
evident 1
excitement 1
existence 1
expelling 1
expresses 2
expressly 1
extra 2
eyes 1
fact 4
falling 2
family 7
farm 1
faster 1
father 6
fathers 1
fee 1
feet 1
fell 2
ferry 1
fever 1
fiction 1
fields 1
fight 3
filled 1
find 2
first 2
fit 1
five 1
floors 1
followed 1
food 6
foot 1
for 25
former 1
fortnight 1
fought 1
found 6
francis 1
frank 5
free 3
freedom 9
frequently 2
friends 2
from 11
full 2
function 1
functioning 1
further 1
gain 2
gambling 1
gave 3
get 5
give 1
given 5
go 1
god 2
going 1
good 4
got 2
government 2
gown 1
grabbed 1
grace 1
grant 1
great 1
ground 1
group 2
growing 1
habit 1
had 31
happening 1
happiest 1
happy 1
hardship 1
hat 1
have 2
having 1
he 79
head 1
headed 3
heard 1
hebrews 1
help 6
henson 68
hensons 7
her 5
herrings 1
hibbard 4
higher 1
him 31
himself 4
hired 2
hiring 1
his 58
hold 1
home 4
honor 2
horse 2
horses 1
house 1
how 1
however 1
human 1
hundred 1
huts 1
i 1
if 6
ignored 1
ii 1
impressed 1
in 46
included 1
including 1
incredibly 1
indeed 1
india 1
individuals 1
initially 1
instance 1
instead 3
instructed 1
into 6
introduce 1
involved 1
involvement 1
is 6
isaac 1
it 12
items 1
its 1
jacket 1
jesus 1
josiah 4
jump 1
jumped 1
june 1
just 1
kentucky 5
kicked 1
kill 1
killed 1
kindly 1
kindness 1
knapsack 1
known 2
l 4
labor 2
laboring 1
lake 1
land 3
large 1
larger 1
lashes 1
last 1
later 2
laughed 1
law 2
lead 2
learned 3
leased 1
leaving 1
lectures 1
left 1
life 6
like 3
little 1
live 3
load 1
lodging 1
log 1
long 3
longer 1
look 1
looks 1
lord 1
lost 1
low 1
loyalty 1
made 3
maiming 1
make 2
man 4
manhenson 1
march 1
married 2
maryland 7
master 12
masters 1
may 2
mccormick 1
mcp 3
mcps 1
meal 1
meals 1
means 1
meet 2
memoir 1
memory 1
men 3
met 2
methodist 2
middle 2
might 1
miles 1
mistake 1
mistress 1
moment 1
more 4
morose 1
mother 6
motion 1
move 2
movement 1
mr 38
mrs 2
much 2
murder 1
my 1
n 3
narrated 1
narrates 1
narrative 3
native 3
necessary 1
needed 2
negotiate 1
neighborhood 1
neighboring 1
never 5
new 2
next 3
night 3
noon 1
nor 1
north 2
not 11
note 3
nothing 1
notice 1
nurse 1
obedience 1
october 1
of 64
off 4
often 1
ohio 1
old 1
older 2
oldest 2
on 26
once 5
one 4
only 3
opportunities 1
opportunity 1
or 9
ordeal 1
originally 1
other 4
out 6
over 4
overseer 5
own 3
owned 2
paid 3
pair 1
pants 1
paper 2
papers 3
paragraph 1
pass 2
passage 1
pay 3
people 1
permission 2
permit 1
person 2
piece 2
pigs 2
place 1
planned 1
plans 2
plantation 6
plot 1
pm 1
point 2
pointed 1
poor 1
possibly 1
prayer 1
preacher 4
preaching 1
prepare 1
prior 1
prison 1
private 1
probably 1
proceeds 1
produce 1
profit 1
promise 1
property 3
prosecuted 1
protect 1
provisions 1
publicize 1
pulpit 1
punishable 1
punishment 1
put 1
quality 1
quarters 1
question 1
r 14
raise 2
raised 1
ran 1
range 1
reached 3
reaching 1
read 3
readers 1
ready 1
realized 2
reason 1
received 7
recited 1
recover 2
regret 1
religious 1
remain 1
remainder 1
remembers 1
replied 2
reports 2
resolved 1
resources 1
response 1
responsible 1
rest 4
result 1
return 3
returning 1
right 2
riley 3
river 2
road 1
rolled 1
rough 1
routinely 2
ruffian 1
run 1
running 1
sack 1
said 2
salt 1
salvation 1
saturday 1
savage 1
says 1
schooling 1
schoolmaster 1
scotsman 1
second 1
secular 1
seeing 2
seizure 1
sell 2
sense 1
sent 1
sentences 1
september 2
sermon 1
served 1
set 3
several 1
shabby 1
shares 1
she 2
shore 2
should 1
show 1
sick 4
single 1
six 2
skills 1
slave 7
slavepurchaser 1
slavery 1
slaves 5
sleep 1
slept 1
small 1
smallest 1
smart 1
so 7
sold 8
some 6
somewhere 1
son 1
soon 4
sort 1
sorts 1
speak 2
spent 1
spirit 1
spoke 1
state 3
states 2
stay 1
steal 1
still 2
stopped 5
story 1
strike 1
strong 1
structure 1
studied 1
subject 1
substance 1
succeed 1
such 1
sudden 1
sued 1
suggested 2
summer 1
sunday 1
surmised 1
suspected 1
take 2
taken 2
taking 2
taller 1
tasks 2
taste 1
teach 1
tears 1
telling 1
text 1
than 3
that 54
the 143
their 5
them 7
themselves 1
then 6
there 4
they 29
think 1
this 9
those 1
though 2
thought 3
three 3
threw 1
through 3
throughout 3
thrown 1
time 8
to 111
together 1
told 3
tom 5
toms 1
too 2
took 5
towards 1
travel 3
traveled 2
traveling 1
treatment 1
trick 1
tricked 1
trip 3
trusting 1
try 2
turned 1
twelve 2
twice 1
two 6
type 1
unable 1
unfamiliar 1
union 1
until 1
up 5
upon 3
use 1
usefulness 1
usually 1
various 1
vegetables 1
verses 1
very 1
vessel 1
violate 1
walk 2
walking 1
walls 1
wanted 2
warmly 2
was 61
watching 1
water 1
waterloo 1
way 7
we 1
well 4
welltaught 1
went 4
were 13
what 3
when 6
where 1
which 12
while 10
white 1
who 9
wife 2
wigwam 1
will 1
with 27
within 1
woke 1
woman 2
woods 1
word 1
work 10
worked 3
working 1
world 1
worth 1
would 19
