1069701
/m/0438_v
/m/0438_v
Yukio Mishima
1966
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 1
10 1
104 1
105 1
11 1
112 2
113 1
114 3
14 1
17 1
18yearold 1
2 1
20 1
200 1
20th 1
20yearold 1
23yearold 1
26 1
27 2
3rd 1
6 2
7 1
a 69
abbess 6
abortion 1
about 3
absence 1
accepts 1
accident 1
account 2
acquired 1
across 1
action 1
advantage 1
affair 3
afford 1
after 6
afterwards 1
again 2
against 1
age 1
ahead 1
all 6
allow 1
alone 2
along 1
also 1
although 1
always 1
amazed 1
an 11
and 61
anecdote 1
announces 1
another 3
any 5
april 2
are 7
argues 1
aristocratic 1
arrange 2
arrangement 1
arranges 1
arrive 1
as 7
ask 1
asking 1
asks 2
astonished 1
at 19
attempted 1
august 1
aware 1
away 4
ayakura 7
azabu 2
back 3
backdated 1
bad 2
baffled 1
baron 1
be 3
bearing 1
beats 1
become 1
becomes 1
bedroom 1
been 6
beetle 1
before 2
being 1
bemoans 1
beneath 1
bestowed 1
betrothal 1
between 5
billiardcue 1
billiardroom 1
billiards 1
black 1
blackmails 1
blossom 1
blurts 1
boardinghouse 2
books 2
both 1
breaking 1
bridegroom 1
brothel 2
brother 1
brought 1
buddhism 1
burn 2
burns 1
burnt 1
but 11
by 15
calling 1
calmly 1
can 3
cancelled 1
cannot 2
carved 1
casually 1
caught 1
caused 1
centre 1
century 1
certificate 1
chan 3
chantrapa 1
chao 5
chapter 5
cherry 1
childhood 1
childish 1
chosen 1
claims 1
comes 1
commemorating 1
comparing 1
concealing 1
concludes 2
concluding 1
conduct 1
confidential 1
conflicts 1
congratulate 1
consciousnessonly 1
considered 1
contact 2
continues 1
convent 4
conversation 1
conversations 1
conviction 1
cooperation 1
count 4
countess 1
court 1
courteous 1
cousin 2
cover 1
crush 1
cut 1
damage 1
darkness 1
daughter 2
day 3
days 3
daze 1
dead 3
death 1
deathly 1
decadent 1
december 1
decision 1
declaring 1
declines 1
deeply 1
definitely 1
deliberately 1
delivers 1
demands 1
department 1
depicted 1
described 1
describes 1
description 1
desk 1
despair 1
devastated 1
did 1
dies 1
dinner 1
directly 1
discomfited 1
discovered 1
discovers 1
discuss 1
discussing 1
disgust 1
dismissed 1
district 1
divination 1
do 2
doctrine 1
does 2
dog 2
door 1
dormitories 1
drama 1
drank 1
dream 3
dreamdiary 2
drift 1
during 3
early 4
effort 1
elegant 1
embrace 1
emerald 3
emotion 1
emotionally 1
emperor 2
empty 1
encounter 1
encounters 1
encouragement 1
end 1
estate 2
events 2
eventually 2
ever 1
everything 1
explains 1
expresses 1
extract 1
fact 3
fallen 1
falls 1
falsely 1
family 9
fate 1
father 3
fearing 1
february 3
feels 1
festival 1
festivities 1
few 1
filled 1
finally 1
firmly 1
first 5
flowers 1
focus 1
follow 1
for 25
forces 2
ford 1
forged 1
form 1
formal 1
former 2
friend 4
from 18
front 3
full 1
further 1
fusako 1
gathering 1
gave 2
genuine 1
gesshu 2
ghostly 1
give 2
given 2
gives 2
giving 1
go 3
goes 2
grand 1
grandfather 2
grandmother 2
grandson 1
grass 1
greataunt 1
ground 1
grounds 2
guests 2
had 2
hair 1
halfwesternised 1
han 1
happened 2
hard 1
haruhisa 1
harunori 2
has 27
hates 1
have 3
he 32
health 1
held 1
help 2
her 21
here 1
hide 1
hides 1
high 1
him 23
himself 2
his 42
holds 1
holiday 1
honda 16
hopes 1
hosso 1
hostile 1
hours 1
house 1
household 3
how 1
hsiao 1
humiliate 1
i 3
if 3
iinuma 10
ill 3
images 1
immediately 2
imperial 2
important 1
in 46
incident 1
includes 1
including 2
indeed 1
indifference 2
ineffectiveness 1
inevitability 1
inexplicable 1
inform 1
informing 2
infuriated 1
inn 1
insists 2
instruction 1
insulting 1
into 1
introduced 1
inviting 1
involve 1
is 33
island 1
it 11
itmdashin 1
iv 1
jade 1
japan 2
japanese 1
join 2
journey 1
june 1
just 3
kagoshima 2
kamakura 2
kasuga 1
kasumicho 1
key 1
king 1
kiss 1
kiyo 1
kiyoaki 47
know 1
knows 2
kri 4
kridsada 1
kyoto 1
lack 1
lake 1
last 4
later 8
laws 1
leading 1
learns 1
leave 4
leaves 1
leaving 1
left 2
letter 11
liaison 1
library 1
life 1
limiting 1
live 1
lives 2
long 3
looking 1
lose 1
loses 1
lost 1
love 3
ludicrously 1
lyrical 1
maid 2
maids 1
mail 1
main 2
maintained 1
major 1
make 1
makes 3
making 2
man 1
manu 1
march 2
marquis 12
marriage 2
matsugae 7
matsugaes 3
may 1
meantime 1
medical 1
meet 4
meeting 3
meets 2
meiji 1
memorial 1
memories 1
mentally 1
mention 1
miles 1
min 3
mitsukoshi 1
model 1
mole 1
moles 1
moment 1
money 1
month 1
months 1
morbid 1
more 2
morning 1
mother 7
moved 1
much 1
musings 1
mysterious 1
names 1
near 2
neither 1
new 3
news 1
next 2
nicknamed 1
night 2
no 2
nor 1
not 6
note 2
nouveauriche 1
novel 4
november 1
now 3
nun 1
obitoke 1
object 1
obscure 1
observer 1
october 3
of 54
off 2
offer 1
offers 1
old 1
omen 2
omiyasama 1
on 25
one 4
only 1
opens 1
or 1
order 2
originated 1
ornamental 1
osaka 1
otachimachi 1
other 1
out 2
own 2
p 5
page 1
pair 1
palace 1
parable 1
parade 1
parents 3
parrot 1
particular 1
party 1
pass 2
passion 1
path 1
pattanadid 1
peers 4
penance 1
people 1
perfunctory 1
period 2
perplexing 1
persuade 1
persuades 1
photograph 2
picking 1
picks 1
pining 1
pitch 1
play 1
plot 1
poems 1
point 1
pond 1
portrays 1
possess 1
pray 1
predictive 1
predicts 1
prefect 1
pregnant 1
premonitory 1
present 1
pretends 1
pride 2
prince 7
princes 5
princess 2
private 2
procession 1
progress 1
promise 1
promises 1
prompts 1
