2082335
/m/06kz4g
/m/06kz4g
Jasper Kent

1 2
17 2
2 2
27 1
27th 1
28 1
3 1
30 1
3rd 1
4 1
5 1
a 65
about 9
accident 1
accidentally 1
address 1
advises 1
after 7
afterword 1
again 1
agency 1
agrees 2
alcoholic 1
alibi 1
all 5
also 2
ambulance 1
amounts 1
amphitheatre 1
amuse 1
an 10
and 85
andrew 18
animals 1
annoyance 1
annoyed 1
another 1
anyway 1
apartment 2
apprehensive 1
are 5
arm 1
armed 1
arranges 1
arrest 2
arrives 3
as 6
asks 4
at 13
attacks 1
attempts 1
aunt 2
away 1
back 2
bad 1
bag 1
band 1
bar 1
basketball 1
bathroom 1
be 4
beatles 1
beats 1
because 1
beeper 1
beeps 1
before 4
began 1
beginning 1
begins 1
being 1
better 1
between 1
bigger 1
birds 1
black 4
bladed 1
blood 3
bodybuilding 1
book 1
borderline 1
bored 1
both 2
boxing 1
boy 10
boyfriend 1
boys 2
breaks 1
breast 1
brick 1
bring 1
broken 1
brother 1
building 1
bullets 1
bursts 1
but 7
buy 2
buying 2
buys 2
by 9
call 3
called 1
calls 3
can 3
cancer 1
captain 1
car 1
carl 1
case 1
causes 1
cd 2
cds 1
cell 1
center 2
central 1
characters 2
charges 1
charging 1
charlie 7
checkup 1
chess 1
childhood 1
china 2
chris 17
cigarette 1
claude 6
cleared 1
clerk 1
closer 1
closet 1
clothes 2
cocaine 2
cocktail 1
collection 1
college 2
come 1
comments 1
compares 1
condoms 1
coney 2
contact 1
contacts 1
container 1
conversation 3
converse 1
converses 1
copious 1
corpses 1
could 1
cousin 1
covered 1
curious 1
cutting 1
dad 1
dave 1
day 1
dead 1
deal 2
dealer 2
dealing 1
deceased 1
december 5
decides 5
deciding 1
declines 1
dedicated 1
departs 1
desperate 1
despite 1
detectives 1
died 2
discman 1
discuss 3
dissuade 1
do 1
does 6
done 1
down 2
dregs 1
drink 2
driver 1
drug 7
drugs 1
drunk 1
drunken 1
each 1
eccentric 1
eminem 1
empty 1
ending 1
ends 2
enjoys 1
enough 1
erupts 1
escape 1
eve 4
even 1
everyone 1
exaggerated 1
examined 1
exchange 1
excuse 1
explains 2
fails 1
fake 2
fat 1
fatally 1
father 6
favors 1
feeling 1
feels 2
fellow 1
fictional 1
fight 4
figure 1
finally 1
finds 1
fire 1
fireside 1
first 1
fish 1
fit 1
five 1
fleeing 1
flesheating 1
fluff 1
follow 1
follows 2
football 1
for 18
forehead 1
found 1
friend 4
friends 1
frightened 1
from 6
game 1
gently 1
get 4
gets 1
getting 1
gettysburg 1
girl 3
girlfriends 2
girls 1
give 1
given 2
gives 5
go 5
goes 8
going 2
good 2
goody 1
got 1
gotten 1
grow 1
guise 1
gun 4
gunshot 1
had 1
haircut 1
hand 1
happened 1
happens 1
harlem 1
has 6
have 6
having 2
he 46
head 3
heads 3
heavy 3
her 14
here 2
hers 1
high 3
him 18
himself 2
hiphop 1
his 34
hitting 1
holds 1
home 7
homeless 1
hospital 3
host 1
hosted 1
hottest 1
house 3
housing 1
how 2
hummanity 1
hunter 11
id 1
illegally 1
impression 1
in 29
incident 1
including 1
injures 1
injuring 1
inscription 1
insists 1
instead 1
insulted 1
intent 1
interested 1
into 4
introduced 1
invitation 1
invites 2
involved 1
irritate 1
is 40
island 2
it 10
jail 1
james 1
jessica 13
just 1
keeping 1
kick 1
kicks 1
killed 4
killing 1
kitchen 1
leave 3
leaves 6
lesson 1
life 1
lifestyle 1
like 1
likes 1
lionel 13
listening 1
loans 1
looks 1
lose 1
loses 1
ludlow 3
lunch 1
make 2
makes 1
