17258010
/m/043qkrf
/m/043qkrf
Stuart Woods
2003-10
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 9
again 1
agencies 1
agent 1
an 1
and 7
as 1
assassin 1
at 2
authorities 1
await 1
before 1
but 1
by 1
cabin 1
can 2
capital 1
careand 1
career 1
catch 1
cause 1
caution 1
cia 1
clever 1
come 1
conservative 1
corridors 1
crimes 1
danger 1
dangerous 1
days 1
dc 1
deathsachieved 1
deserted 1
die 1
different 1
director 1
enforcement 1
even 1
evidence 1
expertly 1
extreme 1
faced 1
fbi 1
feared 1
federal 1
finds 1
for 1
from 1
hard 1
he 1
help 1
hideaway 1
highlevel 1
himself 1
his 3
in 2
intrigue 1
is 3
island 1
isolated 1
kate 2
killed 1
killer 1
killers 1
kind 1
kinney 1
lakeside 1
law 1
lee 3
less 1
linked 1
man 1
marshaling 1
maverick 1
meansare 1
middle 1
most 3
murderer 1
nation 1
no 1
now 1
of 10
off 1
other 1
picking 1
pinnacle 1
politician 1
politicos 1
politics 1
power 2
president 1
professional 1
prominent 1
quarry 1
quiet 1
reputation 1
robert 1
rule 1
ruthless 1
same 1
seemingly 1
serving 1
set 1
shady 1
some 1
states 1
strike 1
suburb 1
suspects 1
tangled 1
taskthat 1
the 9
their 1
then 1
to 5
track 1
trails 1
trap 1
two 1
united 1
unusual 1
up 1
very 1
web 1
when 1
who 1
wife 1
will 3
with 6
within 1
