16640199
/m/03yj2y0
/m/03yj2y0
Juliet Marillier

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 21
ability 1
about 2
abuse 1
abusing 1
abusive 1
accepts 1
accident 1
actually 2
aengus 1
affair 1
after 2
aisling 4
alive 1
all 3
allowed 2
also 1
an 3
and 45
answer 1
are 2
arrives 1
arrow 1
arts 1
as 2
asks 1
at 5
attack 3
attempt 1
back 4
band 1
battle 1
be 4
beating 1
beauty 1
been 2
before 2
belief 1
betrayed 1
birth 2
blood 2
bog 2
born 1
bran 14
bride 1
bring 2
briton 1
britons 2
brother 3
brought 1
but 2
by 7
caer 1
called 2
camp 1
can 4
capture 1
carried 1
catches 1
ceremory 1
chase 1
chieftain 2
child 3
childhood 1
christian 1
ciarn 7
colum 1
comes 2
comply 1
control 1
convinces 2
cord 1
could 3
counsel 1
d 1
danann 1
daughter 1
dead 1
deal 1
death 2
deathbed 1
demand 1
died 1
dies 1
discovers 2
discuss 1
druid 2
druids 1
dubh 6
during 5
dusk 1
eamonn 11
escape 2
estate 1
eventually 1
exchange 2
expected 1
falls 1
fancy 1
father 3
fearful 1
fell 1
festival 1
feud 1
fiacha 2
fight 1
fighting 1
finally 1
finbar 2
find 1
finds 2
fionn 3
follows 1
for 10
forbidden 1
force 1
forced 1
forest 2
formerly 1
from 4
future 2
g 1
gift 2
gifts 1
give 1
given 1
gives 2
go 3
goes 1
great 1
grows 1
gull 2
had 1
half 1
hand 1
harrowfield 3
has 6
have 1
having 1
he 11
heal 1
healing 1
heir 1
held 2
help 5
helping 1
her 26
hidden 1
hiding 1
him 5
his 14
home 2
horrowfield 2
how 1
hugh 2
husband 3
ibormeith 1
if 1
imbolc 1
in 18
indeed 3
inflicted 1
injured 1
into 1
is 10
islands 1
it 1
iubdan 4
iubdin 1
john 2
johnny 2
kidnapped 1
kill 1
killed 2
kinsman 2
lady 2
last 1
leader 1
leaders 1
learn 2
learning 1
learns 2
leave 1
leaves 3
liadan 21
liam 3
lie 1
life 3
long 1
lord 2
love 2
made 1
magic 1
make 1
makes 1
man 5
margery 2
married 1
marry 2
meet 1
meets 1
men 2
mercenaries 1
might 1
mind 1
minds 1
moment 1
mother 2
mothers 1
must 2
mysterious 1
naimh 1
named 1
names 2
neighbouring 1
nephew 1
never 1
new 1
niamh 13
nill 1
not 5
novel 1
nunnery 1
of 35
offspring 1
older 1
on 6
one 1
oonagh 2
order 1
others 1
out 3
outlaw 1
painted 4
plan 1
pregnant 1
prisoner 1
purchase 1
raven 1
read 1
realise 1
realises 1
recent 1
recently 1
refuses 1
remain 1
remained 1
rescue 1
return 2
returned 1
returning 2
returns 2
revealing 1
reveals 1
rocks 1
roots 1
sacred 1
sacrificed 1
safe 2
safely 1
save 1
says 1
school 1
sdhe 6
sean 7
secret 3
secretly 1
sends 1
setting 1
sevenwaters 8
she 22
shortly 1
sight 1
since 1
sister 4
sisters 1
sleep 1
slips 1
smith 1
so 2
some 1
son 6
soon 1
sorceress 1
sorcha 5
spared 1
staying 1
stone 1
story 1
strangled 1
suicide 1
surrounds 1
swears 1
take 1
takes 1
taking 1
tale 3
talk 1
task 1
telling 1
tells 8
that 20
the 51
their 5
them 1
then 2
they 9
this 5
through 1
tinker 1
to 30
torture 1
torturing 1
tradition 1
trip 1
truth 4
tuatha 1
twin 1
u 1
uncle 1
union 1
up 2
upon 1
uses 1
vision 2
visions 1
visit 2
walk 1
wants 1
warriors 1
was 8
way 1
wed 3
were 2
when 6
where 1
while 2
white 1
who 1
why 2
will 3
with 13
year 1
young 1
