27490
/m/06vh_
/m/06vh_
Jane Austen
1811
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 18
abandoned 1
abandons 1
about 1
accident 1
accompany 1
acquits 1
admire 1
admits 1
after 2
against 1
an 2
and 42
ankle 1
anne 2
anyone 1
apparent 1
approaches 1
are 7
arrives 2
arriving 1
art 1
as 6
assess 1
assists 1
at 2
attachment 1
attentions 1
attracted 1
aunt 1
bachelor 1
barton 3
be 2
became 1
because 2
becomes 2
been 2
begin 1
begins 1
behaviour 2
being 1
believe 1
believing 1
betrays 1
blame 1
brandon 6
break 1
brother 3
business 1
but 6
by 5
care 1
caught 1
cautions 1
character 1
charitable 1
check 1
child 1
choice 1
coldly 1
colonel 5
come 2
comes 4
compelled 1
compliment 1
comply 1
conduct 3
confidence 1
considers 1
conveniences 1
correspondence 1
cottage 2
could 1
couple 1
courage 1
cousin 1
cousins 1
curt 1
dangerously 1
dashing 1
dashwood 10
dashwoods 2
daughters 1
day 1
death 1
deathbed 1
departs 1
devastated 1
devonshire 1
dies 1
directly 1
disapproves 1
disinheritance 2
disinherited 1
displaying 1
distraught 1
distress 1
drunkenly 1
duty 1
edward 10
elicits 1
elinor 20
else 2
emotion 1
emotions 1
enclosing 1
engaged 2
engagement 4
enough 1
entreated 1
estate 1
expensive 1
extracts 1
extreme 1
falling 1
false 1
falsehood 1
family 2
fanny 5
favour 2
fears 1
feelings 1
feels 1
felt 1
ferrars 5
few 1
fifteenyearold 1
finally 1
first 1
for 9
former 1
forms 1
fortune 1
four 1
friend 1
from 3
gaining 1
gentlemanly 3
genuine 1
gets 1
go 1
good 2
grave 1
greedy 1
greets 1
grieved 1
guests 2
had 1
hair 1
halfsisters 1
handsome 1
happy 1
has 6
have 3
he 8
health 1
heartache 1
held 1
her 25
herself 2
him 6
himself 1
his 21
home 3
honour 1
honourably 1
house 1
how 1
however 2
ill 1
illuminate 1
immediately 2
immoral 2
impending 1
implication 1
in 13
incapable 1
including 1
income 1
inconsistencies 1
indefinitely 1
indignantly 1
informing 1
informs 2
inspiring 1
intelligent 1
into 1
invitation 1
is 12
it 3
jennings 3
jilted 1
john 7
knowing 1
lacks 1
lady 3
large 1
learning 1
led 1
left 1
letter 1
letters 1
live 1
local 1
lock 1
london 3
longer 1
looking 1
looks 1
love 7
loved 2
loveless 1
lucy 6
made 1
man 1
many 1
margaret 1
marianne 20
marriage 1
married 2
marries 1
marry 1
match 1
meantime 2
meet 1
meeting 1
middleton 3
misery 1
misses 1
model 1
money 2
motherinlaw 1
motivated 1
moves 1
mr 12
mrs 9
much 1
music 1
must 1
nature 1
near 1
neglects 1
never 2
new 3
no 1
norland 3
not 1
of 27
offends 1
old 1
on 4
one 1
only 2
or 1
out 3
outspoken 1
over 1
overt 1
owners 1
pain 1
park 2
passed 1
passes 1
pays 1
personal 1
persuades 1
pity 2
place 1
pleasant 1
pleased 1
poetry 1
popularity 1
position 1
pregnant 1
promise 1
proofs 1
protect 1
quickly 1
quiet 1
rain 1
rather 4
received 1
receives 1
recovered 1
reduced 1
refuses 2
reluctantly 1
renege 1
repent 1
reserved 1
resolves 1
respect 1
result 1
reveal 1
reveals 2
robert 1
rumours 1
sacrificed 1
search 1
second 1
secret 2
secretly 1
seduced 1
seems 1
sees 3
selfish 1
sending 1
sense 3
series 1
she 7
short 1
similar 1
sir 2
sisters 1
situation 1
slight 1
slips 1
small 1
so 1
society 1
somewhere 1
son 2
soon 6
sorrow 1
sorts 1
speeds 1
sprains 1
stay 1
steele 4
suspect 1
sympathy 2
take 2
teases 1
tells 1
than 4
that 14
the 25
their 5
them 1
then 1
they 3
thirtyfive 1
this 1
threatened 1
to 41
tokens 1
traumatised 1
turned 1
unanswered 1
unassuming 1
understand 2
uneducated 1
unexpectedly 1
unguarded 1
unhappy 2
until 1
unwelcome 1
up 1
upon 2
used 1
value 1
veracity 1
very 1
views 1
visit 2
visits 1
vulgar 1
walk 1
ward 1
warmly 1
was 1
wealthy 1
welcomed 1
were 1
what 2
when 4
which 1
while 1
who 1
widespread 1
wife 4
will 1
willoughby 11
winter 1
with 5
women 1
writes 1
year 1
years 1
young 2
