405006
/m/0249vb
/m/0249vb
J. T.

a 10
accepted 1
after 1
akercock 1
alias 1
all 1
allow 1
also 1
and 12
are 1
as 3
at 1
aurantiaca 1
badenstock 1
base 1
bedtricked 1
belphagor 3
by 2
calling 1
castiliano 2
character 1
cheats 1
christian 1
clack 1
classical 1
collier 1
comes 1
common 2
complications 1
cubs 1
cure 1
cures 1
curse 1
depiction 1
described 1
devil 6
devoted 1
dies 1
disguises 1
doctor 1
domain 1
earth 2
earthly 1
elements 1
end 1
english 1
escaping 1
eventually 1
existence 1
expires 1
extreme 1
family 1
females 1
ferocious 1
for 2
former 1
fox 1
genus 1
goodfellow 1
goodhearted 1
great 1
grim 2
grimthecollier 1
grown 1
have 2
hawkweed 1
he 5
hell 1
help 1
her 5
hieracium 1
him 6
himself 1
his 2
honoria 2
however 1
if 1
in 5
infernal 1
into 1
investigate 1
is 9
its 3
joan 1
just 1
kill 1
like 1
live 1
love 1
made 1
maid 2
marital 1
marriage 1
marry 2
marrying 1
mild 1
miller 1
misbehaviors 1
mixture 1
mute 1
name 1
named 2
names 1
of 6
offers 1
on 4
once 1
one 1
or 1
orange 1
other 1
otherwise 1
paintbrush 1
parson 1
patient 1
pilosella 1
pitiful 1
play 3
pluto 1
poisons 1
predetermined 1
promise 1
proposal 1
puck 1
rather 1
red 1
relief 1
reports 1
repudiates 1
restrained 1
return 1
returns 1
robin 1
ruled 1
seem 1
she 3
shorthose 1
shrewish 1
simple 1
slave 1
sometimes 1
soul 1
spaniard 1
spanish 1
subplot 1
suitors 1
surprisingly 1
sympathetic 1
than 1
that 2
the 14
their 1
this 1
time 2
to 8
toils 1
tries 1
turn 1
under 1
who 3
wife 1
will 1
wins 1
with 3
woman 2
women 1
wouldnt 1
young 1
