3784892
/m/09_ws6
/m/09_ws6
Luigi Pirandello

{"/m/05hgj": "Novel"}
a 15
according 1
accused 1
achieved 1
act 1
actually 1
adapt 1
advances 1
advantage 1
after 1
again 1
against 4
ajala 1
all 1
allowed 1
alone 2
alvignani 3
always 1
an 4
and 16
are 2
as 1
assigned 1
at 4
atmosphere 1
attitude 1
author 1
authorities 1
baby 2
back 1
be 2
because 2
become 1
been 5
begins 1
betray 1
birth 1
bored 1
born 1
bourgeousie 1
brings 1
bursts 1
but 8
by 6
can 1
cancel 1
carrying 2
catastrophically 1
caught 1
celebrating 1
chance 1
characters 1
choral 1
circumstances 2
closed 1
coincidences 1
complex 1
compromised 1
conform 1
constantly 1
convictions 1
counsel 1
courting 1
cruel 1
daughter 1
dealing 1
decision 2
defeats 1
described 1
detachment 1
develops 1
dies 1
does 1
dominated 1
dramatic 1
dying 1
ease 1
economic 1
elections 1
elements 1
end 2
ends 1
even 2
eventual 1
everyone 1
excluded 2
expressed 1
extreme 1
fact 1
falsely 1
father 2
feels 1
felt 1
final 1
finally 1
find 1
for 2
force 1
forces 1
from 4
game 1
giving 1
gradually 1
gregorio 1
guilty 1
had 3
happiness 1
has 8
having 4
helped 1
her 29
herself 3
hidden 1
his 3
home 2
housewife 1
husband 4
if 2
illustrate 1
imposed 1
in 21
inability 1
injustices 1
innocent 1
into 3
is 13
isolation 1
it 4
itself 2
jeer 1
joylessly 1
kicked 2
knowing 1
leslusa 1
letter 1
letters 1
life 1
lives 1
logic 1
losing 1
loss 1
lost 1
lover 2
made 1
malevolence 1
manner 1
marta 7
masculine 1
meaning 1
meanwhile 1
mentality 1
mind 1
minutely 1
misbegotten 1
moral 1
more 1
mother 2
much 2
muchdesired 1
names 1
narrative 1
naturalistic 1
never 3
no 1
not 2
novel 2
now 1
obedience 1
objectivity 1
obstinate 1
obtain 1
obtaining 1
of 42
on 2
one 1
only 1
open 1
opening 1
order 2
out 4
over 1
overwhelmed 1
own 3
painting 1
part 1
partly 1
passing 1
passive 1
past 1
people 1
permitted 1
petit 1
place 1
position 3
poverty 1
precipitous 1
precisely 1
premonitory 1
prevails 1
procession 1
protagonist 1
proud 1
psychology 1
publicly 1
quite 1
rage 1
reaction 1
reading 1
ready 1
realism 1
recognize 1
redemption 1
redolent 1
regret 1
rehabilitated 1
reinsert 1
rejected 1
religious 1
remove 1
repudiation 1
repulsion 1
resignation 1
respect 1
restless 1
resurrection 1
reveals 1
revenge 2
role 3
same 1
scene 1
scholastic 1
second 1
secretly 1
seems 2
selfsatisfaction 1
sense 1
series 1
set 1
shame 1
she 15
shout 1
sicily 1
sign 1
significant 1
signify 1
similar 1
sin 1
singularity 1
sister 2
situation 1
small 1
so 1
society 6
solidarity 1
someone 1
son 1
spiritual 2
spring 1
state 1
status 1
story 1
streets 1
struggle 3
submissive 2
success 1
sudden 1
suffer 1
suffering 2
supports 1
surprise 1
surrender 2
takes 1
taking 1
teaching 1
tenacious 1
that 7
the 50
their 2
these 1
things 1
thrown 1
time 1
to 16
totally 1
traditional 1
turn 1
two 1
typical 1
under 1
unexpected 1
unfathomable 1
up 2
uses 1
vain 1
verge 1
victory 1
village 3
villagers 1
violent 1
was 2
what 2
when 1
where 1
which 13
while 1
who 6
whose 2
wide 1
will 2
windows 1
with 5
womb 2
women 1
word 1
would 1
