7152378
/m/0h713z
/m/0h713z
Barbara Hambly
1985-05-01
1860s 1
1thcentury 1
a 2
aaron 2
alien 2
all 1
an 2
ancestress 1
and 6
around 1
as 2
asa 1
attempted 1
back 1
based 1
be 2
before 1
benefactor 1
bet 1
bolt 1
bolts 1
brides 1
bring 1
brother 1
by 3
cared 1
civilization 1
coast 1
come 2
comic 1
control 1
could 2
deal 1
destroy 1
discovers 1
dramatic 1
during 1
earth 1
east 1
efforts 2
eldest 1
engaged 1
entire 1
federation 1
for 1
from 1
girls 1
has 1
he 1
helps 1
here 1
hide 1
him 2
his 5
holdings 1
hundred 1
identifies 1
importing 1
in 1
invasion 1
is 1
ishmael 1
jason 1
killing 1
klingon 1
ladies 1
likely 1
logging 1
loosely 1
lost 1
marriageable 2
married 1
memory 1
mercer 2
most 1
much 1
nephew 1
of 10
off 1
one 3
operation 1
or 1
origins 1
passes 1
persuade 1
place 1
plot 1
premise 1
program 1
revolved 1
seattle 2
show 1
spock 4
states 1
stemple 4
story 2
take 1
television 1
tension 1
that 3
the 14
their 1
them 1
thwart 2
time 1
to 8
travels 1
united 1
upon 1
warravaged 1
was 1
who 1
within 1
women 1
would 1
year 1
