1097030
/m/045r0k
/m/045r0k
Per Wahlöö
1972
{"/m/0lsxr": "Crime Fiction"}
a 6
abominable 1
after 1
all 1
and 1
are 2
at 1
bank 1
beck 1
being 1
classic 1
commit 1
conclusion 1
crime 2
criminal 1
detectives 1
did 2
do 1
extremely 1
for 2
force 2
free 1
from 1
genre 1
gets 1
given 1
hard 1
has 2
he 3
heinous 1
hindered 1
in 1
incompetence 1
is 1
job 1
kollberg 1
larsson 1
locked 2
man 1
martin 1
mystery 1
needs 2
not 1
of 5
one 1
part 1
pity 1
plots 1
point 1
police 1
recovering 1
reluctantly 1
robberies 1
room 2
running 1
severely 1
shot 1
simultaneously 1
situation 1
solve 2
special 1
spread 1
spree 1
swedish 1
task 1
that 2
the 8
their 1
then 1
three 1
time 1
to 4
two 1
walks 1
work 1
