9053935
/m/027vzgy
/m/027vzgy
Ian McEwan
1990
15556 1
25yearold 1
30yearold 1
a 3
american 1
and 3
around 1
at 1
beginning 1
berlin 2
build 1
centres 1
ciami6 1
cold 1
command 1
divorced 1
eckdorf 1
englishman 1
falls 1
from 1
german 1
he 1
high 1
in 4
into 1
is 1
joint 1
leonard 2
lines 1
love 1
maria 1
marnham 1
novel 1
of 3
on 1
operation 2
phone 1
place 1
recorders 1
relationship 1
repairs 1
revolves 1
role 1
russian 1
sector 2
sets 1
soviet 1
story 1
takes 1
tap 1
tape 1
the 12
their 1
to 2
tunnel 2
up 1
used 1
war 1
who 1
with 1
