21466116
/m/05f4c2b
/m/05f4c2b
Muriel Spark
1965
{"/m/02xlf": "Fiction"}
161 1
a 3
adolf 1
an 1
and 2
arab 1
archeologist 1
backdrop 1
barbara 1
be 1
book 1
british 1
catholicconvert 1
cause 1
clegg 1
contacts 1
dangerous 1
dead 1
diplomat 1
do 1
due 1
eichmann 1
enlists 1
fiance 1
found 1
freddy 1
gate 1
half 1
hamilton 1
harry 1
held 1
help 1
her 3
holy 1
in 3
into 1
is 3
jerusalem 2
jewish 2
jordanian 1
land 1
mandelbaum 1
may 2
meet 1
must 1
not 1
of 2
on 1
operation 1
or 1
pass 1
pilgrimage 1
planning 1
qumran 1
roots 1
scrolls 1
sea 1
set 1
she 2
staid 1
sympathetic 1
the 6
this 2
through 1
to 5
trial 1
various 1
vaughn 1
were 1
where 1
whilst 1
who 1
with 1
working 1
