1799959
/m/05x_fh
/m/05x_fh
Stephen Baxter
2003-11
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1537 1
1863 1
455 1
476 1
5th 1
5thcentury 1
a 38
abandoning 1
abandons 1
about 2
accept 1
access 1
accompanies 1
ad 1
additional 1
aeons 1
aetius 2
after 5
again 2
ageing 1
aiming 1
all 1
allowing 1
almost 1
also 2
amator 2
american 1
an 9
ancient 3
and 42
anonymous 1
another 1
antipope 1
any 2
appian 1
are 5
arrives 1
arriving 1
artificial 1
artorius 6
as 7
assimilated 1
assisted 1
assists 1
at 1
attached 1
attention 1
away 1
baby 2
back 2
bakery 1
barbaric 1
became 1
become 2
becomes 1
been 1
before 3
begins 2
behaviour 1
being 1
belief 1
betrayed 1
beyond 1
birth 1
births 2
bombing 1
bombs 1
book 1
born 1
both 1
brica 1
brings 1
britain 5
british 1
budding 1
burns 1
but 4
by 10
cache 1
called 2
calls 1
came 1
carta 1
cartumandua 2
casella 1
catacombs 1
catholic 1
ceawlin 1
centuries 3
century 1
ceremony 1
certain 1
chambers 1
characters 1
children 1
christianadapted 1
cites 1
clash 1
clashing 1
clement 2
clever 1
cloudy 1
coalescents 1
coffers 1
colleagues 1
colombo 1
colony 1
combined 1
comfortable 1
conclusion 1
conquest 1
conquests 1
consists 1
contact 4
contacts 1
control 1
converting 1
convinces 2
cool 2
copes 1
council 1
cousin 2
crater 1
crisis 1
cristoforo 1
crypt 9
daniel 4
dark 2
daughter 3
daughters 1
days 1
death 4
decides 1
dedicate 1
deep 2
demands 1
despite 1
destroy 1
determining 1
detonates 1
devastated 1
developed 1
dies 2
discovered 2
discovers 1
disdains 1
distant 2
distinct 1
divert 1
do 1
does 1
donated 1
donations 1
doom 1
down 1
drones 2
due 1
dug 1
earth 1
eccentric 1
emerge 1
emotionally 1
empire 2
encouragement 1
end 1
england 1
entrance 1
eons 1
eradicate 1
eradication 1
establishes 3
eusocial 2
eusociality 1
evacuated 1
evacuation 1
event 1
eventually 1
evidence 1
evolved 1
example 1
except 1
exist 1
expansion 1
expected 1
explaining 1
explains 1
explosives 1
expose 1
exposing 1
extracts 1
eyes 1
facial 1
facility 1
faction 1
falls 1
familiar 1
family 5
far 1
fascinated 1
father 3
favours 1
features 1
fifteenyear 1
fight 1
finds 1
firstperson 1
five 1
florida 2
followed 1
following 4
for 18
forcing 1
foresight 1
former 1
found 1
four 2
freethinking 1
friends 1
from 9
futility 1
future 2
gaining 1
genetic 1
george 15
gina 2
give 1
given 1
gives 2
govern 1
grandfather 1
grant 1
gravity 1
great 1
grey 1
group 1
had 2
hamlet 1
handful 1
has 5
have 1
he 5
held 1
help 1
her 21
herself 1
higher 1
him 2
himself 1
his 21
hive 3
hivelike 1
hives 1
holy 2
homosexual 1
hospital 2
hosts 1
how 1
human 3
humanity 2
humans 1
ignorance 1
important 1
impregnated 1
in 31
indefinitely 1
individuals 1
information 3
inhabitants 1
initiated 1
injured 1
intelligence 1
intelligent 1
intense 1
internet 1
intimate 1
into 9
introduces 1
introduction 1
invaded 1
invades 1
invading 1
investigating 1
invitation 1
is 18
it 3
its 5
itself 1
jesuit 2
joins 1
jose 1
julia 2
keeping 1
kills 1
kind 1
kingdom 1
knew 1
knocked 1
labels 1
land 1
landed 1
large 1
later 2
leader 1
leadership 1
learn 1
learns 2
leaves 2
legacy 1
life 2
linda 1
listen 1
live 1
lives 1
located 1
look 1
looking 1
loses 1
losing 2
lost 1
lou 1
love 1
lucia 7
made 1
main 1
mammals 1
managing 1
mandate 1
manipulation 1
marriage 1
mary 2
matter 3
mclachlan 3
mdash 4
mean 1
meanwhile 2
meets 2
member 1
members 1
men 1
menstruate 1
merchant 1
message 2
middle 1
midlife 1
military 1
mindless 1
missing 1
mission 1
mob 1
modern 2
mole 1
money 1
months 1
moral 1
more 1
mosaicdesigning 1
most 1
mother 2
mothers 1
moving 1
must 1
mutinous 1
mysterious 1
mystery 1
naked 1
named 2
namely 1
nearly 1
nephews 1
nervous 1
never 2
new 3
night 1
north 1
not 2
notice 1
novel 1
now 1
object 1
occasional 1
occupation 1
occurs 1
of 47
off 2
offworld 1
old 2
on 2
once 2
one 1
online 1
only 1
openly 1
orbit 2
order 31
organisation 2
out 2
over 3
own 1
owner 1
parents 1
part 4
parts 1
passage 1
patriarchal 1
peculiarities 1
person 1
persuades 1
peter 15
picture 1
pillage 1
planet 2
plans 1
plastic 1
pluto 1
poole 15
poor 1
possible 1
poverty 1
practices 1
precedents 1
pregnancy 1
pregnant 1
prepubescent 1
present 3
pressures 1
priest 2
primary 1
private 1
progeny 1
prohibited 1
promptly 1
provides 1
puissant 2
pummel 1
purpose 2
quantum 1
queen 2
rape 1
rapes 2
rats 1
realities 1
realizes 1
reasoning 1
reasons 1
receiving 1
recent 1
reckless 1
recompense 1
record 1
records 1
reestablishes 1
refuge 1
regina 20
regularly 1
relationship 1
relatives 1
relocated 1
remain 1
removed 1
replace 1
replenishing 1
research 1
researching 1
resolution 1
responsible 1
restore 1
result 1
retired 1
retrieves 1
returns 1
reunion 2
revives 1
roaming 1
robbed 1
role 1
roman 4
rome 9
roots 1
rosa 3
rules 3
runs 1
sack 1
sacrificing 1
san 1
sanctuary 1
saves 1
saxon 1
saxons 1
school 1
scribe 1
search 1
searching 1
secret 1
sections 1
secure 1
secures 1
seeks 1
sees 1
semtex 1
sense 1
senses 1
serendipitously 1
servant 1
set 1
settlements 1
seventeenyearold 1
sevenyearold 1
sexual 1
share 1
she 6
ship 1
short 1
showing 1
similar 1
similarly 1
sister 7
sisters 2
sixteen 1
slanters 2
smell 1
smothered 1
snatched 1
solar 1
soldiers 1
spacetime 1
speculates 1
spoiling 1
stannard 1
stay 1
strained 1
strange 1
strength 2
stud 1
successful 1
suddenly 1
sums 1
superiority 1
surveyor 1
survive 1
survived 1
survives 1
survivors 1
suspicious 1
symbolic 1
take 1
takes 1
technology 1
telling 1
text 2
than 1
that 9
the 90
their 5
them 1
then 2
theory 1
there 1
they 1
thirst 1
this 2
those 1
threat 1
threatening 1
threatens 1
three 4
through 1
to 40
tour 1
toward 1
traced 1
twilight 1
twin 1
twins 1
two 2
uncle 2
uncover 1
uncovers 1
under 1
underground 2
unexpectedly 1
universe 1
unknown 1
unlike 1
unnecessary 1
unpaid 1
unstable 1
unsupportable 1
upon 1
uprooted 1
urgent 1
vandals 1
various 1
verulamium 2
very 1
vestal 1
via 1
view 1
vii 1
villa 1
virgins 3
visit 1
wall 1
war 1
wareffort 1
warlord 1
was 1
way 2
wealthy 4
well 1
were 1
what 1
when 3
where 3
while 1
who 7
whom 1
wife 2
with 17
withdrawal 1
within 3
women 1
workers 1
working 1
would 2
years 3
your 1
