12478251
/m/02w80rb
/m/02w80rb
Michael Frayn

10 1
15 1
174 1
2001 1
a 4
also 1
asked 1
been 1
blair 1
body 1
book 1
british 1
by 2
cabinet 1
civil 2
concerns 1
death 1
defence 1
directly 1
earlier 1
establishment 1
found 1
harold 1
has 1
his 2
in 4
investigate 1
investigations 1
involved 1
it 1
jessel 1
minister 1
ministry 1
of 4
office 1
outside 1
predates 1
prime 1
reporting 1
reveal 1
servant 2
setting 1
some 1
strategy 1
summerchild 2
that 1
the 7
to 2
tony 1
trategy 1
unexplained 1
unit 2
up 1
was 2
who 1
whose 1
wilson 1
working 1
years 2
