30727100
/m/0gfd6n1
/m/0gfd6n1
Flannery O'Connor
1955
140s 1
a 8
african 1
after 2
america 1
american 1
and 2
appalled 1
as 1
asking 1
back 1
because 2
body 1
but 2
by 1
catholic 1
come 1
contacts 1
day 1
decides 1
died 1
displaced 2
eventually 1
family 2
farm 6
feel 1
find 1
finds 3
fire 2
firing 1
georgia 1
goes 1
guizac 3
hand 1
hands 2
her 1
him 1
his 4
ii 1
in 2
industrious 1
instead 2
into 1
invites 1
is 3
just 1
laziness 1
leave 1
left 1
manipulate 1
marrying 1
mcintre 1
mcintyre 3
misses 1
mr 2
mrs 5
named 1
niece 1
of 5
on 2
one 1
out 2
over 1
owner 1
perceived 1
person 2
place 1
polish 1
priest 2
quite 1
refugee 1
relocates 1
rolls 1
she 5
shortly 3
shortlys 2
so 1
story 1
stroke 1
takes 1
teenage 1
that 2
the 11
they 1
threatened 1
to 8
tractor 1
try 1
war 1
when 2
white 1
who 1
with 1
work 1
world 1
