888344
/m/03lzsc
/m/03lzsc
Angela Carter
1977
14 1
a 22
abandons 1
abortion 1
absolute 1
across 1
adam 1
african 1
after 1
again 1
ageing 1
aims 1
alchemical 1
alive 1
all 1
always 1
amber 1
american 2
an 3
ancient 1
and 36
ange 1
apocryphal 1
are 2
arrives 1
as 1
at 1
back 2
band 1
be 2
beach 1
beachmdasha 1
beautiful 1
beauty 1
because 2
become 1
becomes 2
bedfellows 1
before 1
behind 1
believes 1
belonging 1
beulah 1
body 1
boyhood 1
boys 1
bushes 1
but 3
by 9
caked 1
cannot 1
captured 1
caves 1
celebrates 1
ceremony 1
chain 1
chair 1
changes 1
chauvinistic 1
city 2
clean 1
clear 1
cleft 1
club 1
coast 1
coffins 1
cold 1
colonel 1
corruption 1
crazed 1
crazy 1
create 1
cruel 2
cult 1
cuts 1
dancer 1
dark 1
de 1
death 2
decimates 1
deck 1
deep 1
defecating 1
degraded 1
desert 3
desire 1
despite 1
dirty 1
discover 1
discovered 1
discovering 2
discovers 1
distilled 1
do 1
down 1
dragged 1
dungareeclad 1
dystopian 1
each 1
effigies 1
embodiment 1
emerges 1
emotional 1
emotions 1
encounter 1
encounters 1
england 1
english 1
enslaved 1
escape 2
escapes 2
eve 18
evelyn 4
existed 1
exotic 1
eye 1
fact 1
fall 1
falls 1
fascinated 1
fashioned 1
fellatio 1
female 3
fight 1
figure 2
film 1
films 1
first 2
food 1
for 2
forcing 1
forests 1
from 5
gang 1
girl 1
given 2
glass 2
go 2
goddess 1
gold 1
golden 1
gothic 1
grunts 1
guided 1
guise 1
half 1
hands 1
harem 3
harvested 1
has 4
hates 1
have 1
he 10
her 17
here 1
herself 3
high 1
him 3
his 12
holds 1
honour 1
however 1
huge 1
human 1
imbibe 1
impregnate 1
in 19
increasingly 1
infertile 1
into 6
invades 1
ironically 1
is 12
its 1
join 1
knife 1
lady 1
laid 1
last 2
launches 1
leader 2
leads 2
learn 1
leaves 1
legmdasha 1
leila 1
leilah 3
lilith 5
link 1
liquifies 1
living 1
locks 1
loneliness 1
love 1
lusted 1
lusts 1
made 1
mafia 1
makes 2
makeup 1
male 5
man 1
manifestation 2
marry 1
meet 2
messiah 1
metamorphoses 1
mockup 1
most 1
mother 4
movie 1
musical 1
must 1
name 1
neck 1
never 1
new 5
newest 1
newly 1
night 2
no 1
novel 1
object 1
objectively 1
obsession 1
obsessively 1
ocean 1
of 18
old 4
on 6
one 5
only 5
onto 1
operation 1
other 1
out 2
overrun 1
own 3
palace 2
passing 1
passive 1
past 1
pigs 1
pile 1
piled 1
pine 1
poet 1
point 1
pools 1
post 1
pregnant 2
primeval 2
professor 1
progresses 1
pronouns 1
purple 1
pushes 1
rape 1
rapes 1
rats 1
realisation 1
realises 1
rebel 1
rebels 1
rebirth 1
reborn 1
referred 1
rejects 1
relationship 1
repelled 1
rescue 1
rock 1
rocks 1
room 1
rotting 1
sandscape 1
saying 1
scared 1
search 1
see 2
seeing 1
seeks 1
seems 1
self 1
sex 1
sexuality 1
she 7
short 1
shot 1
silent 2
singing 1
skiff 1
slavish 1
songs 1
sorrow 1
species 1
sperm 1
spin 1
spinning 1
st 1
stages 1
star 2
start 1
story 1
struggles 1
subterranean 2
superficiality 1
surgeon 1
surrounded 1
swaps 1
symbolically 1
taken 1
takes 2
taking 1
talk 1
teenage 1
tells 1
terms 1
that 7
the 36
their 4
then 2
they 7
this 3
thong 1
through 2
time 1
tinned 1
tiresias 1
to 21
top 1
towers 1
tracks 1
transformation 1
tribute 1
tristessa 11
two 1
university 1
unless 1
until 1
up 1
upon 1
using 1
uterus 1
vagabond 1
vodka 1
warm 1
was 2
waxwork 1
wedding 1
when 2
where 1
while 1
whips 1
who 5
whom 1
wife 2
with 8
wives 2
woman 4
years 1
york 2
young 1
zero 6
