22376662
/m/05s_20d
/m/05s_20d
Michael Crichton
2009-11-24
{"/m/02p0szs": "Historical fiction"}
1665 1
a 19
abates 1
able 1
aboard 1
about 1
accounted 1
across 1
actually 1
after 6
afterward 1
against 1
aid 1
aide 1
aimed 2
air 1
alignment 1
all 1
almont 5
alone 1
an 1
and 26
animals 1
another 1
appears 1
are 3
armed 1
around 1
arrested 1
arrival 2
as 2
at 1
atlantic 1
attacked 1
attacking 1
awaiting 1
back 2
bay 1
be 1
beached 1
beast 1
before 1
begins 1
behind 1
being 1
betraying 1
between 2
black 1
blow 1
body 2
bosquet 1
by 9
calling 1
can 1
cannibalistic 1
cannon 1
cannons 2
captain 3
capture 3
captured 1
cassandra 3
cazalla 6
celebrating 1
cell 1
charge 1
charles 1
chased 1
clear 1
cliffs 1
comes 1
coming 1
commanded 2
commands 1
containing 1
continue 1
courier 1
court 1
crew 6
crossbow 1
currents 1
damage 1
damaged 1
damaging 1
daring 1
days 3
deadly 1
defensive 1
departure 1
devastating 1
diego 1
disappeared 1
discovers 1
docked 1
don 1
due 1
duel 1
eat 1
el 4
enough 1
enthusiastic 1
entirely 1
escape 2
evades 2
evidence 1
excited 1
expedition 1
explodes 1
eye 1
eyesight 1
few 4
fierce 1
finally 1
find 1
finds 1
fire 1
fired 1
first 1
foliage 1
follow 1
for 4
fortress 2
from 3
galleon 3
gathers 1
genius 1
geysers 1
gives 2
glare 1
governor 3
gravely 1
groin 1
hacklett 3
had 1
half 1
hanged 1
harbor 1
has 3
he 4
helmed 1
here 1
him 2
himself 1
hired 1
his 8
hours 1
however 3
hunter 18
hurricane 1
in 7
inactivity 1
infamous 1
inhabited 1
injure 1
inside 1
into 2
is 23
island 4
it 5
its 1
jamaica 1
james 2
journey 1
judge 1
jungle 1
killed 1
kills 3
knows 1
kraken 1
landed 1
later 3
lazue 2
lead 1
less 1
letting 1
little 1
long 1
lying 1
make 2
man 1
manage 1
manages 1
many 1
massive 1
matanceros 3
mates 1
men 1
mere 2
merely 1
message 1
miles 1
misfortune 1
miss 1
moment 1
moments 1
monkey 1
moor 1
mortally 1
mr 1
narrowly 1
natives 1
nearly 1
never 1
niece 1
none 1
notices 1
occupying 1
ocean 1
of 12
on 7
other 2
out 2
overboard 1
own 2
pardon 1
path 1
perfect 1
pirate 1
placed 1
port 3
possibility 1
prison 2
privateers 1
protection 1
pursued 1
put 1
quickly 1
rain 1
realizes 1
reboard 1
retaliate 1
reward 1
robert 1
rough 1
royal 3
safe 1
sail 1
sanson 6
save 1
sea 2
second 2
secondincommand 1
secretary 1
see 2
seeming 1
seen 1
sends 1
sentenced 2
separated 1
set 1
sets 1
sharks 1
ship 7
ships 2
shooting 1
short 1
shot 3
shots 1
sick 1
sickly 1
signs 1
sir 1
skyward 1
slice 1
soldiers 1
soon 1
spain 1
spaniard 1
spanish 1
split 1
sprung 2
stern 1
still 1
storm 3
strange 1
strong 1
suffers 1
sun 1
supposedly 1
surprise 1
suspicion 1
taken 1
takes 1
terrible 1
than 2
that 6
the 63
their 17
there 2
they 1
this 1
though 1
throat 1
throws 1
to 22
took 1
traps 2
travel 1
traversing 1
treasure 3
treasures 1
trial 1
trinidad 4
turns 1
two 4
unable 1
under 1
until 2
untold 1
up 1
upon 4
using 1
venture 1
victory 1
village 1
waits 1
warship 7
water 1
way 5
were 1
when 1
where 2
who 4
winds 1
with 6
word 1
yet 2
