5512550
/m/0dq7qf
/m/0dq7qf
Monica Hughes
1980
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature"}
10th 1
16th 1
a 6
about 1
accident 1
actually 1
again 1
allow 1
alone 1
also 1
an 1
and 13
any 1
appearance 1
are 2
as 2
bacteria 1
be 2
because 1
begins 1
birthday 1
blood 1
boy 1
called 1
care 1
carrying 1
cascade 1
changed 1
climb 1
climbs 1
collector 1
coming 1
communicate 1
could 1
dacop 1
data 1
day 1
death 1
deciding 1
discussing 1
disgusted 1
distress 1
do 1
dog 1
dr 1
dragon 1
earth 2
ends 1
explains 1
falls 2
find 1
from 4
gave 1
genetically 1
goes 1
guardian 9
harm 1
he 4
heights 1
her 12
him 1
hobbit 1
house 1
how 1
in 5
is 6
isis 5
isolation 1
it 2
jody 1
keep 1
know 1
later 1
leave 1
light 1
lighthouse 1
little 1
live 2
london 1
love 1
macdonald 1
manning 1
mark 3
means 1
mesa 1
might 2
mother 1
mountains 1
must 1
not 2
of 9
olwen 15
on 2
one 2
or 1
out 2
outside 1
overhears 1
parents 1
perfect 1
planet 2
processor 1
protect 1
protective 1
ra 1
rays 1
react 1
really 1
refuses 2
rescues 1
robot 1
ruin 1
safe 1
samples 1
see 3
self 1
settlers 8
she 2
so 3
solar 1
some 1
special 1
storm 1
story 2
suffers 1
suit 3
sun 1
tells 2
that 5
the 18
then 1
there 1
these 1
they 2
thinking 1
thinks 1
to 9
top 1
towards 1
trouble 1
true 1
truth 1
ultraviolet 1
up 1
valley 2
viruses 1
was 1
we 1
wear 2
when 1
which 2
who 2
will 1
wishes 1
with 7
without 1
world 1
would 1
young 1
younger 1
