5061559
/m/0d0z7r
/m/0d0z7r
Paul Russell
1999-08
15yearold 1
2010 1
25yearold 1
40yearold 1
a 28
about 2
accepted 1
accepts 2
acting 1
actions 1
admit 1
admits 1
adulterer 1
adults 1
after 3
again 2
aids 1
allows 1
alone 1
alpha 1
also 3
alternating 1
always 1
an 5
and 35
angry 1
any 2
anyone 1
anything 1
are 2
around 1
arthur 8
as 4
at 4
attracted 1
away 1
back 5
be 1
beagle 1
became 1
become 2
becomes 1
bed 1
been 2
befriends 1
begins 1
best 1
betsy 3
better 1
between 2
big 1
blessing 1
boy 4
boys 3
branson 2
breaks 1
brighter 1
brought 1
business 1
but 3
by 7
call 1
campus 3
care 1
caused 1
central 1
chance 1
charactersnbsp 1
chris 2
christian 2
city 2
claire 10
clandestinely 1
classic 1
clean 2
close 3
closely 1
club 2
coke 1
comes 1
coming 2
completely 1
confides 1
contact 1
counselor 1
couple 1
crush 2
cut 1
damaged 2
deals 1
declared 1
desires 2
developed 2
dinner 2
do 1
doctor 1
dog 2
dorm 1
drama 1
dubious 1
during 2
dying 1
each 1
early 1
educating 1
else 2
emmerich 5
end 1
ending 2
ends 2
english 3
even 1
eventually 4
everything 1
exboyfriend 1
experience 1
experiences 1
failed 1
faithful 1
father 3
favored 1
favorite 1
feeling 3
fellow 1
few 1
fiend 1
finally 6
find 1
finds 2
first 3
for 13
forbidden 2
forge 3
formerly 1
four 1
friend 1
friends 4
friendship 3
from 1
full 1
future 1
gay 4
gays 1
german 1
gets 1
gives 1
goes 1
gone 1
grown 1
guilty 1
had 5
happened 1
happier 1
happy 1
has 11
have 4
having 3
he 24
headmaster 7
helped 1
her 3
him 5
himself 3
hires 1
his 28
history 3
hiv 1
hivpositive 1
home 1
homosexual 1
homosexuality 2
hope 1
house 1
how 1
hurt 1
husband 1
if 1
ii 1
iii 3
illicit 1
imparting 1
implied 1
in 14
inadvertently 1
including 1
instantly 1
instead 1
into 1
invited 1
inviting 1
irrevocably 1
is 23
it 8
itself 1
jack 5
kept 1
knew 1
knowing 3
knows 1
later 2
lathrop 3
leaves 1
leaving 1
left 2
lesbian 1
letting 1
libby 1
life 3
little 1
lives 2
longer 1
look 1
loses 1
lost 1
louis 21
love 3
loving 1
maccs 1
macmillan 1
macmillancom 1
male 1
maliciously 1
many 1
married 1
mess 1
met 1
middle 3
might 1
mistakes 1
months 2
most 1
music 1
name 1
needed 1
negative 1
never 2
new 7
night 1
no 2
noah 20
nonetheless 1
not 3
novel 3
now 2
oblivious 1
occasionally 1
occurred 1
of 17
off 2
offers 1
often 2
on 11
once 2
one 5
only 1
openly 1
opera 1
or 2
other 3
out 2
over 1
overbearing 1
overtures 1
own 5
owned 1
panics 1
park 1
parker 2
paul 1
person 1
perspective 1
pondering 1
popular 1
position 1
prep 1
prepares 1
previous 3
previously 1
protecting 1
quickly 2
realizes 2
realizing 1
reason 1
regrets 1
reid 4
reignites 1
rejected 1
relationship 10
relationships 1
remained 1
repeats 1
repressed 2
resembled 1
resignation 1
resigns 1
rest 1
revealed 2
ritalin 1
ruined 1
run 1
running 1
runs 2
russell 1
same 2
says 1
school 12
secret 1
see 1
sees 1
sent 1
sexualitythe 1
she 2
shelter 1
shortly 1
should 1
similar 1
since 1
situation 1
so 1
something 1
son 2
spend 1
start 1
started 1
starts 1
stepped 1
still 1
stop 1
storm 1
story 1
struggling 1
student 5
students 3
suspects 1
teacher 6
teacherstudent 1
teaching 2
teased 1
terms 1
tests 1
than 2
that 16
the 50
their 4
them 1
then 1
there 1
they 1
though 2
three 1
through 1
time 3
to 21
told 1
too 1
tracy 22
tremper 3
trempers 3
trip 1
troubled 1
turned 1
turns 1
tyler 2
unaware 1
unlike 2
unravel 1
unrequited 1
until 2
up 1
upstate 1
urges 1
visit 1
visits 1
wandering 1
was 6
way 1
webpage 1
well 2
wets 1
what 2
when 5
where 2
which 4
while 1
who 12
wife 3
will 3
with 23
within 1
womanizer 1
world 1
years 1
york 5
young 1
younger 1
