32579788
/m/0h1h9l9
/m/0h1h9l9
David Deutsch

18th 1
a 12
ability 2
able 1
academy 1
accelerated 1
according 1
acquired 3
across 1
affect 1
after 1
again 1
age 1
ai 2
all 1
allowing 1
almost 1
alternate 3
although 1
always 1
an 3
and 10
another 1
any 2
anywhere 1
are 3
argues 1
arise 1
arisen 1
arises 1
as 10
at 2
athens 1
basis 2
be 2
became 1
been 1
before 1
beginning 3
behavioural 1
being 1
benefit 1
book 1
branching 1
brute 1
but 1
came 1
century 1
change 1
close 1
complicated 1
computational 1
concede 1
concept 2
conditions 2
confer 1
conjectures 1
consists 1
constructors 1
contain 1
contamination 1
continents 1
could 1
create 2
creation 5
creative 3
creativity 3
criticism 1
criticizes 1
currently 1
deal 1
debate 1
decades 1
detect 1
deutsch 15
development 2
diamond 1
did 1
difficult 1
disrupted 1
do 1
dominate 1
due 1
during 2
easily 1
emerged 1
emergence 2
enlightenment 3
europe 1
events 1
everything 1
evidence 2
evolution 1
evolved 1
exist 1
existed 1
existing 2
experience 1
experiencing 1
explains 1
explanation 1
explanations 2
explanatory 2
exposed 1
extols 2
fact 1
faithfully 2
falsification 1
falsified 1
fed 1
fiction 1
first 2
florence 1
for 9
free 1
from 4
function 1
fungibility 1
fungible 1
fungibly 1
genetic 1
germs 1
golden 1
good 4
got 1
great 1
guns 1
happened 2
has 2
have 1
having 1
he 2
here 1
his 4
histories 2
history 1
how 1
human 2
humanculture 1
humans 1
ideas 3
if 2
in 11
inadvertent 1
increased 1
individuals 1
inevitable 1
infinite 2
infinity 2
information 2
innovation 1
input 1
intelligence 3
interactions 1
interference 1
intertwine 1
is 10
it 5
jared 1
just 2
knowledge 10
lack 1
larger 1
lead 1
led 1
life 1
locomotion 1
luck 1
many 1
matters 1
memes 4
memetic 1
moments 1
more 2
most 1
much 1
multiverse 5
naturally 1
near 1
new 3
not 2
notice 1
numbers 1
object 2
occurs 2
of 21
off 1
offers 1
on 2
one 1
only 1
open 1
optimism 1
other 2
our 2
out 1
outlined 1
outsidethebox 1
particles 1
passage 1
past 1
performed 1
perspective 1
phenomena 1
phenomenon 1
philosophical 1
physically 2
plato 1
point 1
points 2
possible 2
power 1
predicted 1
previous 1
previously 1
problem 1
problems 1
process 3
produce 1
program 1
programmer 1
programs 1
progress 1
proposed 1
proven 1
provide 1
provided 2
purposeful 1
purposefully 1
quantum 4
random 1
rate 1
real 1
reality 1
refined 1
renaissance 1
reproduce 2
require 2
resist 1
resistance 1
resistant 1
resource 1
reveal 1
right 1
robot 1
rule 1
says 1
see 1
sees 1
senses 1
sequence 1
set 2
shortly 1
should 1
since 1
single 1
six 1
slice 1
slow 1
so 1
societies 3
solutions 1
somewhere 1
sought 1
source 1
speculates 1
spontaneously 1
static 3
steel 1
structure 1
succumbing 1
such 1
suggests 1
superpositions 1
sustained 1
technological 1
test 3
than 1
that 12
the 34
their 4
theories 1
these 1
they 2
thinking 1
thinks 1
this 6
those 1
through 2
thus 1
time 1
times 1
to 26
too 2
took 1
transactions 1
turing 2
underway 1
universal 1
universe 1
universes 1
unknown 1
up 1
usefulness 1
valuing 1
views 1
was 3
way 1
we 1
west 1
what 1
where 6
which 1
why 1
will 1
with 2
without 2
worlds 1
would 3
