22510655
/m/05zldgl
/m/05zldgl
Charlie Higson
2009-09-03
3 1
a 33
about 1
achilleus 3
acts 1
adult 2
adults 8
afraid 1
after 5
agreement 1
aid 1
aids 1
all 3
along 1
an 5
and 40
another 4
appear 1
appears 1
are 7
arms 1
army 1
arran 5
arrives 1
arrow 1
arsenal 1
as 9
asks 1
at 6
attacked 1
attempt 1
awakes 1
away 2
back 2
base 3
based 1
battle 1
be 3
because 2
becomes 4
becoming 1
been 1
begins 1
behind 2
being 2
better 1
bite 2
bitten 1
book 1
boy 3
boys 1
break 1
breaks 1
british 1
brooke 1
buckingham 6
building 2
but 7
by 10
called 1
callum 4
camden 1
can 1
cannibals 1
capture 1
carried 1
catch 2
chained 1
chased 1
chases 1
child 1
children 9
claims 1
coat 1
combat 1
come 2
comes 1
composed 1
concerns 1
confines 2
consequence 1
continues 1
control 1
couple 3
craves 1
creatures 1
cross 2
david 4
death 1
decide 1
decides 1
deke 2
despite 1
destruction 1
dies 3
discovers 1
dont 1
during 1
eat 1
environment 1
epidemic 1
escape 3
escapes 2
eventually 2
every 1
explains 1
explore 1
expresses 1
far 1
fatally 1
feeling 1
few 1
fight 5
find 5
for 3
formed 1
found 1
freak 2
frequently 1
from 5
gates 1
george 3
gets 3
girl 2
go 1
going 1
gone 1
group 15
groups 1
grow 1
grown 1
grownup 1
grownups 1
has 4
have 8
having 2
he 15
headed 1
heads 1
help 2
her 2
hid 1
hiding 1
him 3
his 10
hope 1
how 1
however 2
idea 1
if 1
in 7
increase 1
increasingly 1
infected 3
inside 1
into 4
is 8
it 4
jester 2
john 5
joining 1
just 4
kid 2
kidnapped 1
kids 11
kill 3
killed 2
killing 1
king 2
known 1
last 1
later 2
lead 1
leader 2
leads 1
leave 1
led 3
left 1
life 1
like 2
living 1
london 5
loneliness 1
loner 1
loses 1
machine 1
made 2
majority 1
making 1
man 1
manage 3
maxie 4
meanwhile 2
meet 1
mistaken 1
more 4
morrison 2
morrisons 1
mother 1
motives 1
museum 1
music 1
named 7
nick 3
night 1
number 1
obsession 1
odds 1
of 26
off 3
older 1
ollie 2
on 2
one 1
onebyone 1
only 3
opposite 1
order 1
other 8
out 5
outside 1
over 2
overly 1
own 2
ownership 1
pack 1
palace 9
park 2
party 1
patchwork 1
peacefully 1
picked 1
plans 1
player 1
pool 1
posed 1
power 1
pressured 1
rachael 1
refuses 1
remembers 1
rest 1
result 1
safe 2
safety 1
saint 2
sam 8
same 1
saves 1
sawedoff 1
scavenger 1
searching 1
secondincommand 1
seems 2
set 1
sets 1
several 2
share 1
shelter 1
shirt 1
shot 1
shotgun 1
sick 1
sickness 1
sinister 1
skirmishes 1
slowly 1
small 2
smarter 2
soon 1
sophie 2
spares 1
squatters 1
st 1
stadium 1
stashed 1
stay 1
stop 1
store 1
supermarket 2
survival 1
surviving 2
survivor 1
swimming 1
take 1
taken 2
taking 1
talk 1
teams 1
tells 1
territorial 1
that 4
the 56
their 2
them 6
then 1
there 2
they 11
things 2
threat 1
through 2
throughout 1
tired 1
to 33
tough 1
tower 1
train 1
trap 1
travel 1
travels 1
trust 1
truth 1
tunnels 1
turning 1
turns 2
unable 1
underground 1
uninfected 1
up 4
upset 2
vending 1
waitrose 4
wants 1
was 1
wearing 1
well 2
when 2
where 3
which 3
who 3
whom 1
wife 1
will 1
win 1
wins 1
with 13
within 1
woman 1
workedout 1
worldwide 1
wound 1
wounded 1
year 1
young 2
zombie 2
zombielike 1
