4530578
/m/0c7dfc
/m/0c7dfc
Garth Nix
2008-07-01
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature"}
60 1
a 13
accompanied 1
accompanying 1
administer 1
advantage 1
advisor 1
after 2
against 2
agreeable 1
all 1
an 1
and 16
annihilated 1
answers 1
any 2
appointed 1
architect 1
are 5
army 1
arrive 1
arrogance 1
artful 1
arthur 14
as 8
assault 2
assumes 1
at 1
atlas 1
attack 1
attacked 1
attention 1
barely 1
basis 1
be 1
become 1
been 1
before 2
begins 1
being 1
believes 1
blood 1
blue 2
bomb 1
bombs 3
book 2
bottles 1
brings 1
brother 1
build 1
but 8
by 10
call 1
calls 2
can 3
cannot 1
captives 1
caught 1
cellar 2
change 1
changes 1
chapters 1
children 1
choice 1
citadel 1
clockwork 1
coal 1
compleat 1
completes 1
concludes 1
confronts 1
consisting 1
constantly 1
contaminated 1
control 1
convinced 1
dame 7
deal 1
deep 1
definite 1
deliberately 1
denizen 3
depressed 1
destroy 1
destroyed 4
disappeared 1
disaster 1
discovers 2
discusses 1
discussing 1
disease 1
disguises 1
dispersed 1
distraction 1
does 1
down 1
dr 1
drasil 1
dusk 2
earth 1
edge 1
empty 1
encounters 1
entanglement 1
epilogue 1
escapes 1
evasively 1
even 1
ever 1
eyes 1
falls 1
far 2
ferocious 1
fifth 2
fiftythree 1
find 3
finding 2
finds 1
first 1
flowers 1
flushed 1
for 4
force 2
forestall 1
former 1
fortify 1
four 1
friday 2
fridays 1
friend 1
from 3
gardens 5
general 2
get 1
give 1
goes 1
golden 1
great 1
grown 1
growth 1
guards 1
had 1
has 6
have 2
he 12
held 1
help 2
hence 1
her 5
herself 2
higher 1
him 4
himself 2
his 10
holding 1
hometown 1
hopes 1
hospital 1
house 12
humble 1
idea 1
if 1
immortal 1
impatience 1
impending 1
in 10
incantation 1
incomparable 4
infiltrates 1
influx 1
insectile 1
into 4
invade 1
irrevocably 1
is 21
it 4
jailers 1
key 3
keys 1
killed 1
lady 2
last 1
launched 1
leaf 2
learns 1
least 1
leaving 1
led 1
levels 1
lift 1
loungers 1
lower 3
lowest 1
lowestranked 1
luminous 1
lying 1
many 1
martine 1
maze 1
metamorphosis 1
more 4
most 1
motive 1
much 1
national 1
necessary 1
new 2
nithlings 1
no 3
not 3
nothing 3
now 3
nuclear 1
of 25
off 2
old 3
on 3
one 3
orders 1
other 1
others 1
outbreak 1
outcome 1
own 1
owned 1
part 3
partially 1
people 1
personality 1
piper 2
plan 1
planning 1
plans 1
power 1
pravuil 1
preceding 1
preemptive 1
preparing 2
prevent 1
primus 5
prison 1
protected 1
quantum 1
quarto 1
questions 1
rain 1
raised 1
rather 1
rats 1
raven 1
reach 2
reaches 3
realm 2
receiving 1
reconstitute 1
recovered 1
regiment 1
reluctantly 1
remain 1
requests 1
rescuing 1
rest 2
result 1
return 1
returning 1
returns 2
right 1
safety 1
saturday 11
scamandros 1
secretly 1
see 1
seeing 1
seem 1
seizes 1
separated 1
septum 1
servant 1
set 1
seventh 1
several 1
shape 1
she 8
shelter 1
shows 1
sign 1
simultaneous 1
since 1
sixth 2
sleepers 1
small 1
so 2
solely 1
sorcerer 1
sorceries 1
sorcerous 1
sorcery 1
spell 1
split 1
splits 1
staffmember 1
stop 1
strike 1
struggles 1
stunt 1
subject 1
suggested 1
sunday 4
superior 1
supernumerary 1
surrounded 1
surrounding 1
suspected 1
suspects 1
suzy 4
take 1
talking 1
tank 1
tells 2
terminally 1
than 6
that 15
the 67
them 1
then 1
there 1
therefore 1
they 2
things 1
this 3
though 1
throughout 1
thrown 1
time 1
times 1
to 31
tower 1
transformation 1
trees 1
tries 1
trying 2
turning 1
turquoise 1
two 1
typical 1
under 1
unless 1
unlike 1
unrevealed 1
up 1
upper 4
uses 1
using 1
verge 1
was 1
water 1
way 1
when 1
wherein 1
whereupon 1
which 5
while 1
who 4
will 5
wishes 1
with 8
within 1
younger 1
