20692213
/m/0524cc7
/m/0524cc7
Richard A. Knaak
2005-12-27
{"/m/01hmnh": "Fantasy"}
a 2
aldric 1
as 1
astrogha 1
awaken 1
brethren 1
by 2
celestial 1
darkness 1
demon 1
dire 1
drawn 1
driven 1
enigmatic 1
events 1
evil 1
fall 1
growing 1
has 2
his 2
hopes 1
in 2
jitan 2
land 1
lord 1
minions 1
moon 1
motion 1
mysterious 1
necromancer 1
nefarious 1
nightmares 1
now 1
of 5
one 1
own 1
plot 1
prepares 1
rises 1
ruins 1
sanctuary 1
set 1
since 1
slept 1
spider 1
stumbles 1
terrible 1
that 2
the 9
these 1
to 3
tomb 1
tristram 1
unaware 1
unleash 1
upon 2
world 1
zayl 1
