4351433
/m/0byls6
/m/0byls6
Bernard Cornwell
2004-10-04
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
10 1
12 1
866 1
876 1
a 9
across 1
adopted 1
after 4
again 3
against 3
agree 1
alfred 2
alike 1
also 1
although 1
among 2
amused 1
an 1
and 26
anglia 2
angry 1
another 1
assassins 1
at 2
attack 2
attempted 1
avenge 1
back 1
battle 4
bebbanburg 3
befriends 1
beocca 1
between 1
body 1
book 1
boy 2
boys 1
breaks 1
but 2
by 7
called 1
captured 1
charges 1
chopping 1
city 1
clashes 1
command 1
condition 1
conquering 1
convince 1
country 1
crushes 1
cynwit 1
danes 10
daughter 1
day 1
death 1
deeply 1
describes 1
desecrated 1
died 2
doing 1
during 3
each 1
ealdorman 6
earl 3
east 2
ends 1
enjoys 1
eoferwic 1
escape 2
escapes 2
exchanged 1
eyes 1
failed 1
family 1
father 1
fearless 1
fighting 3
fights 1
find 1
finds 1
first 1
flees 1
fleet 3
for 1
friend 1
friendship 1
from 2
gains 1
girl 1
goes 1
group 1
guthrum 2
hall 1
hallburning 1
has 1
he 17
heir 1
her 1
hiding 1
hilt 1
him 4
himself 2
his 9
hopes 1
hostages 2
household 1
how 1
in 12
into 1
intrigued 1
invasion 1
is 13
it 1
joins 2
kidnapped 2
killed 2
killing 1
kills 1
king 1
kjartan 4
learns 1
lfric 1
lie 1
life 2
like 1
lord 1
lothbrokson 1
make 1
man 1
many 1
marry 1
meets 2
men 1
mercia 1
mildrith 1
moving 1
murders 1
noble 1
north 1
northumbria 1
now 1
odda 1
of 15
offended 1
old 1
oldest 1
on 3
one 3
or 1
orphaned 1
osbert 2
other 1
out 3
over 1
part 2
participates 1
particular 1
peace 2
priest 1
proceeds 1
ragnar 14
raid 1
raiders 1
read 1
rebaptised 1
recount 1
remains 1
retains 1
rightful 1
rorik 2
sails 1
saved 1
saxon 1
saxons 1
scout 1
second 1
seeking 1
seeks 1
sending 1
sent 1
sexually 1
she 1
shieldwall 1
shipmaster 1
ships 1
side 1
siege 1
slashes 1
slave 1
slaves 1
small 1
so 1
son 7
staying 1
sven 6
sword 2
take 1
taken 1
takes 2
taking 1
tale 1
tells 1
that 2
the 37
them 1
then 5
there 3
they 2
thigh 1
thyra 2
title 1
to 13
touch 1
tries 1
ubba 2
uhtred 20
uncle 1
viking 1
was 1
wessex 5
when 2
where 2
who 1
wife 1
winter 1
with 9
woods 1
working 1
write 1
years 1
york 1
younger 2
