7123562
/m/0h5bpx
/m/0h5bpx
Jennifer Rowe
2000
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 19
about 1
accompanied 1
accuses 1
adin 4
administrative 1
advisor 1
after 2
age 1
akbaba 1
all 2
allowed 1
also 2
alton 1
an 1
and 27
animals 1
anna 1
any 1
appears 1
apprentice 2
army 2
around 1
as 7
at 1
attached 1
away 1
back 1
barda 7
be 1
became 1
because 1
become 2
becomes 1
been 2
before 2
behind 1
being 1
belt 8
birthday 1
blacksmith 2
bloom 1
bodies 1
body 1
book 1
born 1
boy 1
breach 1
breaching 1
break 1
breaks 1
bride 1
brief 1
but 3
by 5
called 5
can 1
capture 1
captures 1
center 2
chain 1
channeled 1
chief 1
city 1
clearing 1
companions 1
company 1
consummate 1
control 1
council 1
crian 2
cultivated 1
curious 1
custom 1
dark 3
days 1
death 1
deltora 8
destroyed 1
destroying 1
detail 1
devour 1
diminishing 2
discover 1
disrepair 1
divided 1
drink 1
drive 1
drop 1
during 1
dying 1
dystopia 1
each 1
eaten 1
effect 1
enclosing 1
endon 7
enemy 2
enough 1
enter 2
enters 2
escape 1
escapes 1
every 1
evil 1
explain 1
fade 1
fallen 1
father 2
filli 1
find 1
finds 1
first 1
fits 1
flowers 1
forest 2
forestdwelling 1
forests 1
forgot 1
found 1
friend 1
from 4
future 1
gathered 1
gem 1
gems 3
generation 1
girl 1
given 1
go 1
goes 1
golden 1
gorl 7
granddaughter 1
grip 1
grow 1
guarded 1
has 5
he 6
heal 1
healing 1
heart 1
held 1
helps 1
her 1
him 1
his 8
home 1
identified 1
immortal 1
in 11
injuries 1
intelligence 1
intentions 1
into 6
invasion 1
is 7
it 3
its 4
jalis 1
jar 1
jarred 9
jasmine 6
kill 1
king 5
kingdom 1
kings 1
knight 2
known 1
kree 1
land 5
last 2
later 6
leads 1
learned 1
learning 1
learns 1
leaving 1
less 2
let 2
library 1
lief 9
life 3
lilies 3
limb 1
located 1
lord 4
lost 1
made 1
magical 1
marry 1
medallions 1
memories 1
mid 3
might 1
mortal 1
much 1
named 2
narrates 1
nearest 1
nectar 4
never 3
not 1
nothing 1
obvious 1
of 27
offering 1
on 3
once 1
one 1
onto 1
opens 1
opposition 1
out 1
over 3
overwhelmed 1
own 2
people 2
perilous 1
person 1
persuades 1
place 1
pommel 1
position 1
possesses 1
power 2
powerful 1
prandine 2
predator 1
pregnant 1
prince 1
proclaimed 1
properties 1
psychokinetic 1
put 1
queen 2
queens 1
questers 1
questions 1
raised 1
recognises 1
recuperate 1
reembark 1
reject 1
relax 1
reluctance 1
rescues 1
restore 1
revive 1
rightful 1
rotted 1
rules 1
sacred 1
sauronlike 1
scattered 1
secret 1
seize 1
sends 1
set 1
seven 2
shadow 6
shadowlands 2
sharn 1
she 1
show 1
sight 1
silence 1
sixteen 1
so 1
soldier 1
son 2
soon 1
sought 1
steadfastly 1
steel 2
stolen 1
strives 1
successor 1
sunlight 1
sword 2
take 1
takes 2
talismans 1
that 6
the 66
their 3
them 5
then 1
there 1
therefore 1
they 1
this 4
those 1
three 3
through 2
throughout 1
thus 1
time 1
to 24
topaz 2
travelling 1
treason 1
tree 1
tribe 1
tribes 1
tried 1
trust 1
tunnel 1
tyrannically 1
under 2
united 1
urges 1
use 2
very 1
vines 3
virtual 1
waist 1
wall 4
was 5
wennbar 1
wenns 1
were 2
which 2
while 3
who 1
whose 1
with 3
wood 4
worn 1
wound 1
years 3
yet 1
