70829
/m/0jb2_
/m/0jb2_
Carlo Collodi
1883
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/09kqc": "Humour", "/m/02xlf": "Fiction"}
40 1
a 90
about 5
accidentally 1
accompanies 1
accuse 1
act 1
actually 1
after 9
again 3
against 1
agree 1
agrees 1
ahead 2
ailing 1
all 9
along 1
also 2
always 2
an 4
and 114
andeven 1
angry 1
annoyed 1
another 2
antonio 2
any 1
appears 1
are 6
around 1
arrive 1
artery 1
artificial 1
as 25
asks 5
assumes 1
at 10
ate 1
attempts 1
audience 1
awakes 1
away 2
back 4
bag 1
bandaged 1
bandits 3
banged 1
barks 1
basin 1
be 14
beach 2
because 1
become 3
becomes 1
been 6
bees 1
before 2
beg 1
beggars 1
begin 1
begins 6
believing 1
bird 2
bites 1
bitten 1
black 1
blind 1
block 3
blocking 1
blue 1
bluehaired 8
boat 2
body 1
book 1
books 2
boots 1
boy 9
boys 5
brings 3
brother 2
build 1
building 1
buries 1
burnt 1
bursts 1
busy 1
but 15
buy 2
by 13
called 2
calls 2
can 2
cannot 1
carabineer 1
carabiniere 1
carpenter 2
carry 1
carve 1
carved 1
carves 1
cat 13
catch 1
catches 1
catchfools 7
caught 2
causing 2
celebration 1
century 1
chance 1
chased 1
cherry 1
chicken 3
chickens 1
children 2
chisel 1
circus 3
city 2
clothes 1
coat 1
coffin 1
coins 7
come 6
comes 5
comical 1
completely 1
concluding 1
confused 1
confusion 1
congregated 1
continues 1
convince 1
cook 1
coop 2
cottage 1
couch 1
could 1
covering 1
crayfish 1
cricket 5
crow 1
crowd 1
crowds 1
cry 1
custom 1
day 4
dead 5
deal 1
decide 1
decides 1
declares 1
deeper 1
despite 1
determination 1
die 1
died 1
dies 1
digested 1
dinner 1
director 1
disguise 1
disguised 1
dislikes 1
disliking 1
disobedient 1
distracted 1
dives 1
do 4
doctors 1
does 3
doesnt 1
dog 4
doghouse 1
doing 1
dolphin 1
done 1
donkey 7
donkeys 2
dont 1
door 5
down 4
dreams 1
drops 1
drown 2
drum 1
ducks 1
during 1
dying 1
earlier 1
earlierknows 1
ears 1
eat 2
emperor 1
encounters 1
end 1
enormous 1
