2869864
/m/0880n6
/m/0880n6
Terrance Dicks

{"/m/014dfn": "Speculative fiction"}
100000 1
17 1
76 1
a 13
access 1
accused 2
addicted 1
advice 1
after 5
aftermath 1
again 1
against 2
agency 2
alerts 1
all 1
almost 1
alone 2
an 2
and 25
another 2
arachnid 1
arrives 3
as 4
astonishment 1
at 3
attack 2
attacked 1
away 1
back 4
bailey 2
base 1
baz 1
bc 1
be 4
before 1
begin 1
being 1
blaming 1
blood 1
blowing 1
book 1
bubble 1
bursts 1
but 2
by 13
called 2
capitol 1
care 1
carefully 1
caught 1
caveman 1
celestial 1
certain 1
characters 1
charge 1
checks 1
cocaine 2
companion 1
companions 2
completely 1
compression 1
concurrent 1
confiscated 1
confusion 1
contact 1
could 1
create 1
crossing 1
damage 1
dashes 1
day 1
dealers 1
death 2
decay 1
decides 1
defenceless 1
demands 2
dematerialises 1
denies 1
depressed 1
desperate 1
devil 1
devils 1
dispose 1
doctor 19
doctors 2
down 1
drained 1
drashig 1
drug 1
druggies 1
drugs 1
during 2
each 1
earth 1
eats 1
eighth 9
eliminator 1
emergency 1
encounters 1
encouragement 1
enemy 1
erases 1
escape 1
escaped 1
escapes 1
especially 1
events 3
executed 1
exile 1
explains 1
eye 1
fabeled 1
fact 1
falls 2
fatally 1
feedback 1
fifth 2
fight 1
fighting 1
film 1
final 1
finally 1
finishes 1
first 2
five 1
flavia 2
for 3
force 1
former 1
fought 1
foul 1
fourth 1
friend 1
from 4
gallifrey 2
games 1
genocide 1
get 2
giant 1
give 1
gives 1
giving 2
grassing 1
group 1
guards 1
happily 1
harmony 1
has 7
have 1
having 3
he 22
helping 1
helps 1
her 4
heriot 1
hg 1
him 10
himself 1
his 25
hopes 1
horrors 1
humanity 1
immediately 3
important 1
in 11
incarnation 3
incident 1
insidious 2
instead 2
instincts 1
intact 1
intending 1
intervention 1
into 5
investigation 1
irreversible 1
is 7
it 6
jamie 1
join 1
jones 1
jovanka 1
jungle 1
junkyard 1
just 2
kill 1
killing 2
knifewielding 1
knows 1
lady 2
landed 2
lands 3
lane 1
lateness 1
leaves 6
leaving 1
led 1
life 2
link 1
local 3
london 1
lord 1
lords 2
losing 1
luckily 1
machine 1
mass 1
master 5
materialises 1
mccrimmon 1
meanwhile 1
meets 2
memories 4
memory 1
metebelis 1
middle 1
mission 1
more 1
must 1
name 1
nearly 1
next 1
noticed 2
of 18
old 2
on 5
once 1
only 1
other 3
over 1
paradoxes 1
party 1
passing 1
past 1
perfectly 1
planet 1
platoon 1
point 1
police 3
possession 1
preserved 1
president 1
prey 1
promptly 1
psychically 1
raston 2
reading 1
regained 1
remembers 1
rescue 1
rescuing 1
resulting 1
robot 2
romana 1
room 1
runs 1
ryoth 4
safely 1
sam 7
same 1
saved 3
saves 1
scrapyard 1
sea 2
second 3
seems 1
self 7
selling 1
send 1
sends 1
set 1
seventh 1
since 1
situation 1
sixth 1
slowing 1
so 1
sontarans 1
soon 1
spider 1
starts 1
state 1
station 1
stops 1
story 1
system 1
take 1
takes 1
taking 2
tardis 6
tce 1
teachers 1
technology 1
tegan 1
television 1
tell 1
tells 1
that 5
the 79
their 2
them 3
then 4
there 1
these 1
they 1
third 1
this 2
threatens 1
three 1
thugs 1
time 5
timeline 1
timelines 1
timescoop 2
tissue 1
to 25
tosses 1
totters 1
transfusion 1
transmatted 1
trap 1
trapped 1
travels 1
trial 2
tricking 1
trust 1
turlough 1
two 2
up 2
uses 1
valeyard 1
vampires 1
verify 1
vervoids 1
vislor 1
war 1
warrior 2
was 1
watched 1
weapon 1
well 1
wells 1
were 1
when 1
where 4
which 3
who 7
will 1
with 6
written 1
year 1
yet 1
young 1
younger 1
zoe 1
zone 2
