2279377
/m/070dyj
/m/070dyj
Mercedes Lackey
1988-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 14
able 3
about 1
absence 1
accused 1
after 1
afterwards 1
again 1
against 1
agent 1
all 2
alliance 2
amount 1
an 4
ancar 8
and 32
apart 1
are 2
argument 1
army 1
arrive 1
arrives 1
as 6
at 2
attacks 1
attempt 1
be 1
because 1
becomes 2
been 2
begins 2
believe 1
best 1
between 4
blessing 1
book 1
border 1
both 1
briefly 1
budding 1
but 2
by 3
cad 1
cannot 1
case 1
caught 1
circle 1
city 1
collapses 1
come 1
companion 3
completed 1
completely 2
conclusion 1
confesses 1
considering 1
continues 1
convey 1
could 1
council 3
councilor 1
countries 1
court 1
cryptic 1
dead 1
death 1
defeats 1
deliver 1
depression 2
desperation 1
did 1
dirk 10
disgrace 1
distances 1
does 1
done 1
drank 1
drinking 1
drives 1
due 1
dungeon 1
elspeth 9
emotional 1
end 1
escape 1
escapes 1
even 1
executes 1
fall 1
fallingout 1
falls 1
falsely 1
father 1
favor 1
feat 1
field 1
footing 1
for 4
friend 1
friends 2
from 1
frustrated 1
generally 1
gifts 1
give 1
gives 1
great 1
guilt 1
half 1
handsome 1
hardorn 5
hardornen 1
has 9
have 3
haven 1
having 1
he 5
health 1
heavily 1
her 12
herald 4
herd 1
him 5
his 10
hope 1
hostile 1
idea 1
immediately 1
impossible 1
in 13
incapacitated 1
information 1
injured 1
innocence 1
interning 1
into 4
investigate 1
is 15
it 1
itself 1
just 1
killed 1
kingdom 1
kris 7
large 1
leaves 1
lifebond 2
lift 1
lord 1
loses 1
love 1
loves 1
mage 1
makes 1
male 1
man 1
managed 1
manipulations 1
marches 1
marriage 2
meanwhile 1
men 1
message 1
mind 1
mission 1
misunderstanding 1
move 1
much 1
murdering 1
named 1
neglects 1
nephew 1
never 1
new 1
no 1
nor 1
not 2
objects 1
occupy 1
of 13
off 1
offer 1
on 1
orthallen 4
otherwise 1
out 2
overrule 1
own 2
plan 1
pneumonia 1
poison 1
prince 2
princess 4
prisoner 1
problems 2
promised 1
pull 1
pupil 1
pursued 1
quarrel 1
queen 6
raped 1
reassure 1
reassures 1
recovery 1
remembers 1
resolved 2
result 1
retinue 1
returns 1
reveal 1
revives 1
right 2
rolan 1
scolding 1
secret 1
seduce 1
see 2
seemingly 1
selenay 4
sends 1
set 1
settle 1
severely 1
she 12
situation 1
slide 1
so 1
some 2
speak 1
special 1
spend 1
spending 1
standstill 1
still 1
stops 1
strength 1
suicide 1
suspicions 1
taken 1
talia 18
that 7
the 37
their 2
them 2
themselves 1
then 4
there 1
these 1
they 1
thing 1
things 1
thinks 1
throne 1
through 2
time 6
to 22
told 1
tortured 1
trap 1
trilogy 1
trusted 1
trying 1
two 3
understand 1
uneasy 1
union 1
unsavory 1
unsolvable 1
until 2
up 2
use 2
used 1
valdemar 2
various 1
warned 1
was 1
ways 1
wedding 1
what 1
when 2
while 2
who 5
will 1
winds 1
with 5
witness 1
women 1
work 2
working 2
worsened 1
would 1
wounded 1
year 1
young 5
