35232728
/m/0j7lvqz
/m/0j7lvqz
Edward Falco
2012-05-08
{"/m/0lsxr": "Crime Fiction"}
17 1
a 2
also 1
and 3
be 1
became 1
become 2
brasi 1
business 1
businessman 1
but 1
consigliere 1
corleone 1
corleones 1
criminal 1
depression 1
don 1
else 1
family 1
father 1
follow 1
footsteps 1
great 1
hagen 1
his 1
how 2
impatient 1
in 3
it 1
luca 1
mdash 2
most 1
new 1
novel 1
of 3
old 1
part 1
powerful 1
pushes 1
real 1
reckless 1
rose 1
set 1
shows 1
something 1
sonny 2
story 1
tells 1
the 8
through 1
to 3
tom 1
underworld 1
upbringing 1
vito 2
wants 1
years 1
york 1
