853843
/m/03hdps
/m/03hdps
Willa Cather
1927
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 8
abstemious 1
acquired 1
after 1
age 1
also 1
american 1
americans 1
among 1
an 2
ancient 1
and 10
are 3
as 1
at 1
avarice 1
become 1
bishop 1
blizzard 1
by 2
cather 2
catholic 1
cave 1
character 1
characters 2
charge 1
church 1
cincinnati 1
classic 1
clergy 1
combined 1
comrade 1
cover 1
culture 2
departure 1
depicted 1
descriptions 1
devout 1
dies 1
diocese 1
dioceses 1
during 1
encounter 1
end 1
entire 1
entrenched 1
especially 1
established 1
establishing 1
examples 1
express 1
faith 1
fearless 1
for 1
forces 1
french 1
friend 1
from 1
futility 1
given 1
gluttony 1
greed 1
guide 1
gulf 1
has 1
he 2
her 1
his 6
hopi 1
in 5
intellectual 1
is 5
its 1
jean 1
joseph 1
journey 1
just 1
landscape 1
latour 3
life 1
line 1
live 1
lives 1
main 1
manner 1
marie 1
memorable 2
mexico 6
millenniaold 1
more 1
must 1
names 1
native 3
nature 1
navajo 1
near 1
new 6
newly 1
novel 1
of 14
ohio 1
old 1
on 1
only 1
others 1
overland 1
overlaying 1
portrayal 1
portrays 2
priest 1
priests 2
primary 1
promulgation 1
proponents 1
railway 1
reflect 1
religion 1
remapped 1
reserved 1
rest 1
riverboat 1
roman 1
sandusky 1
scene 1
sent 1
several 1
simple 1
so 1
spanishmexican 1
spends 1
state 1
states 2
superb 1
supplant 1
sympathetically 1
take 2
takes 1
territory 1
than 1
that 1
the 22
their 2
thence 1
these 1
they 1
time 1
to 6
tower 1
travel 1
travels 1
two 1
united 2
vaillant 2
valiant 1
vatican 1
vicar 1
vivid 1
wellentrenched 1
wellmeaning 1
were 1
west 1
where 2
whereas 1
which 2
while 1
who 2
will 1
with 1
year 1
