4572351
/m/0c9hq3
/m/0c9hq3
Emilio Salgari

a 3
adventurer 1
after 1
against 1
and 4
are 2
band 1
beautiful 1
begin 1
blood 1
british 1
but 1
by 1
change 1
colonial 1
de 1
dutch 1
empires 1
existence 1
fighting 1
fortunes 1
friend 1
girl 1
gomera 1
has 1
height 1
his 3
indomitable 1
labuan 1
learns 1
led 1
loyal 1
malaysia 2
mompracem 1
nicknamed 1
of 9
pearl 1
pirate 1
pirates 1
portuguese 1
power 2
reached 1
rebel 1
sandokan 2
spilling 1
spreading 1
terror 1
the 8
they 1
throughout 1
tiger 1
tigers 1
to 1
twelve 1
wanderer 1
when 1
yanez 1
years 1
