1044676
/m/0413xs
/m/0413xs
Robert Cormier

{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
adam 3
amy 1
and 2
are 2
around 1
based 1
be 1
biking 1
characters 1
cormier 1
discovery 1
end 1
farmer 1
fictional 1
find 1
for 1
from 1
he 2
hertz 1
his 6
home 4
in 3
interspersed 1
is 3
journey 1
just 1
leominster 1
life 1
love 1
massachusetts 2
memories 1
mental 2
monument 1
not 1
of 4
on 2
out 1
parents 1
people 1
prankster 1
previous 1
protagonist 1
riding 1
seems 1
story 1
that 2
the 7
to 1
town 2
trip 1
we 1
who 2
with 2
work 1
