25041210
/m/09gj_49
/m/09gj_49
Linden MacIntyre
2009-08

10s 1
170s 1
a 7
and 2
avoided 1
been 1
breton 1
by 2
called 1
cape 1
catholic 3
church 1
come 1
consequences 1
controversies 1
controversy 2
convinced 1
could 1
coverups 1
deal 1
dean 1
duncan 1
follows 1
have 2
he 2
his 2
housekeeper 1
impending 1
impregnated 1
in 1
is 1
island 1
life 1
local 1
low 1
macaskill 4
move 1
named 1
new 1
nova 2
numerous 2
of 3
oversee 1
own 1
parish 1
past 1
potential 1
priest 2
profile 1
public 1
quickly 1
quietly 1
remote 1
resolve 1
rural 1
scotia 2
sent 1
significant 1
soon 1
story 1
subsequently 1
terms 1
the 7
times 1
to 5
toronto 1
university 1
upon 1
was 2
were 1
what 1
who 1
with 2
would 1
