25261050
/m/09g8_fd
/m/09g8_fd
Mia Couto

a 8
abandoned 1
along 1
aloud 1
also 1
alternates 1
an 3
and 9
as 1
at 2
been 1
before 1
being 1
between 2
birth 1
bodies 1
both 1
boy 1
burnt 1
bus 2
by 2
camp 1
civil 2
conversations 1
corpses 1
down 1
during 1
encounter 1
end 1
entries 1
family 1
find 1
finding 1
fled 1
from 1
gives 1
glimpse 1
had 1
he 1
highest 1
identity 1
illness 1
importance 1
in 1
including 1
independent 1
into 1
its 1
keep 1
kindzu 2
latter 1
man 1
manages 1
many 2
met 1
mozambique 2
muidinga 3
named 1
narrate 1
narration 1
national 1
next 1
notebooks 3
of 10
older 1
one 1
parties 1
person 1
personal 1
point 1
political 1
read 1
recovering 1
refugee 1
relationships 1
remnants 1
right 1
rival 1
road 2
scorched 1
set 2
shelter 1
side 1
signs 1
stability 1
struggle 1
take 1
tension 1
that 2
the 19
them 1
these 1
they 3
to 3
together 1
travel 1
tuahir 3
us 1
use 1
war 3
wartorn 1
was 1
when 1
with 2
written 1
