5897399
/m/0fcgch
/m/0fcgch
Peggy Rathmann

a 6
about 2
accident 1
again 1
an 1
and 5
are 1
asleep 1
assigned 1
at 1
attentive 1
back 1
because 1
behind 1
big 1
boring 1
buckle 6
claire 1
convinces 1
demonstrating 1
does 1
dog 1
end 1
enjoys 1
enthusiastic 1
everyone 1
fame 1
fell 1
from 1
girl 1
gloria 5
go 1
happens 1
he 2
his 2
huge 1
imitating 1
in 1
is 2
letter 1
literally 1
local 1
many 1
named 3
of 1
officer 7
on 1
police 2
rather 1
refuses 1
rules 1
safety 6
school 1
schoolchildren 1
schools 2
sees 1
so 1
speech 2
start 1
students 1
success 1
sweet 1
take 1
taped 1
teach 2
teaching 1
tell 1
that 2
the 6
then 1
time 1
tip 1
to 7
together 1
tricks 1
tried 1
unbeknownst 1
until 2
whenever 1
