1625143
/m/05hmy2
/m/05hmy2
Ernesto Sabato
1948
{"/m/05hgj": "Novel"}
146 1
a 14
about 5
accuses 1
accusing 1
after 2
again 4
agree 1
agrees 1
aires 3
all 2
allende 5
alone 1
also 1
although 1
an 4
and 20
angrily 1
another 1
answer 1
anxiety 2
any 1
approach 1
approaches 2
argument 1
arrive 1
arrives 1
as 3
asking 1
aspect 1
at 2
atmosphere 1
attack 1
attempts 1
attention 1
attitudes 1
autumn 1
be 2
becomes 1
before 2
begins 2
believe 1
besides 1
between 1
blind 1
buenos 3
building 1
but 4
by 3
castel 12
cause 1
certified 1
character 1
cheats 1
circumstances 1
city 1
clear 1
come 2
comes 1
composes 1
concludes 1
confirming 1
considers 2
continues 1
convince 1
country 1
cousin 1
crying 1
cuckold 1
dark 1
death 1
decided 1
decides 1
deeply 1
del 1
delving 1
destination 1
detail 3
disconnect 1
discover 1
discussion 1
do 1
does 2
dominated 1
doubts 1
drives 1
each 2
employment 1
encounter 1
entering 1
enters 1
entire 1
envisions 1
estancia 2
eventually 1
exhibition 2
expects 1
fact 2
fantasizing 1
fate 1
feed 1
feelings 1
few 1
fight 1
figure 1
find 1
first 1
fit 1
flee 1
focusing 1
following 2
fool 1
for 3
forcing 1
go 1
good 1
grows 1
guests 1
harm 1
has 4
have 1
he 19
her 19
hidden 1
him 10
himself 2
his 8
home 1
house 2
how 1
however 1
hunter 5
hurtful 1
husband 3
immediately 1
immensity 1
important 1
in 12
ineffectually 1
infancy 1
inner 1
intensifies 1
interrogations 1
into 2
introducing 1
iribarne 2
irrational 1
is 8
it 4
its 1
killed 1
large 1
last 1
later 4
lead 1
learns 1
leave 2
leaves 2
leaving 1
led 1
left 1
letter 2
life 3
likely 1
little 2
lives 1
love 1
mailing 1
main 1
make 1
man 1
mar 1
mara 11
maria 1
married 1
maternidad 1
maternity 1
meanwhile 1
meet 1
men 1
mine 1
missing 1
months 1
more 2
most 1
murdered 1
my 3
name 2
named 1
negative 1
never 1
next 1
nobody 1
northern 1
not 4
notices 1
observation 1
obsessing 1
obsession 1
obsessive 2
of 18
office 1
on 4
one 3
only 2
opportunity 1
or 1
other 4
out 5
outside 1
over 1
overheard 1
owned 1
painter 1
painting 4
parallel 1
paranoia 1
part 1
particularly 1
passageways 1
passed 1
passing 1
passionately 1
pay 1
phone 1
place 1
plata 1
point 1
police 1
posadas 1
postal 1
presence 1
presumes 1
probably 1
prostitute 1
questions 1
rage 1
ranch 2
reach 1
reaches 1
region 1
regrets 1
relationship 1
relatives 1
reluctantly 1
retract 1
returning 1
room 1
sadly 1
satisfaction 1
say 1
see 2
seeing 1
service 1
she 8
should 1
shows 1
significant 1
since 1
single 1
sleeping 2
solitary 1
sorts 1
spends 1
stabs 1
staff 1
station 1
status 1
stop 1
story 1
street 1
subtle 1
take 1
tell 1
tells 1
than 1
that 11
the 33
their 3
them 1
then 1
there 1
they 1
thinking 1
this 3
thoughts 2
through 1
to 37
tries 1
trip 1
tunnel 2
tunnels 1
turns 1
ultimately 1
unable 1
understood 1
unsuccessfully 1
up 1
upon 2
values 1
visiting 1
waiting 1
waits 1
ways 1
wellaware 1
what 1
when 2
where 2
whereas 1
wherein 1
which 3
while 1
who 3
why 1
will 1
with 8
woman 2
word 1
work 1
worker 1
world 1
youth 1
