20510174
/m/051xx29
/m/051xx29
Harry Turtledove


a 5
abandon 1
across 1
against 1
algarve 2
algarvian 1
algarvians 5
allowed 1
although 3
an 3
and 13
are 2
armies 1
as 4
at 1
attack 1
attempt 1
back 1
becsehely 1
been 1
board 1
bombing 1
borders 1
but 2
by 5
captured 1
carrier 1
carved 1
conditions 1
consolidating 1
cross 1
crosses 1
day 1
diarrhea 1
disguised 1
do 1
dragon 1
during 1
ealstan 1
eastward 1
eggs 1
enabling 1
eoforwic 3
escape 1
escapes 1
fight 1
fighting 2
finally 1
fleet 2
fool 1
for 1
forcing 1
forthweg 2
found 1
friends 1
from 3
gets 1
grelz 1
guided 1
gyongyos 1
habakkuk 1
had 1
halfhearted 1
has 3
have 1
her 1
himself 1
his 1
hold 1
home 1
iceberg 1
in 1
independence 1
inducing 1
instead 1
into 3
introduced 1
invade 1
invasion 1
invents 1
is 3
istvan 3
it 2
its 2
itself 1
jelgava 2
kaunian 1
keeps 1
krasta 1
kun 1
kuusaman 1
kuusamans 2
lagoans 1
later 1
latter 1
launches 2
leino 1
looms 1
lurcanio 1
made 1
major 1
massing 1
massive 1
mixed 1
more 1
most 1
northern 1
not 2
obuda 2
occupation 1
of 5
offensive 2
on 5
one 1
out 3
over 1
pregnant 1
pretending 1
pushed 1
quarter 1
raid 1
regiment 2
retreat 1
return 1
river 1
sacrifices 1
same 1
send 1
serving 1
severe 1
sex 1
ships 1
shortages 1
side 1
sidroc 1
skarnu 1
soon 1
starts 1
strait 1
suppressed 1
sure 1
surrender 1
sweeps 1
switches 1
taken 1
than 1
the 11
their 1
them 1
this 1
through 1
thrown 1
time 1
to 11
toward 1
troop 1
troops 1
twegen 2
unkerlant 4
unkerlanter 2
unkerlanters 1
uprising 2
using 1
vainly 1
valmiera 2
valmierans 1
valnu 1
vanai 1
well 1
when 1
which 2
while 1
who 1
with 3
withdraw 1
worsen 1
yanina 2
zuwayza 1
