9389496
/m/0286y67
/m/0286y67
Jacqueline Wilson
2005-03-21
{"/m/0dwly": "Children's literature"}
a 13
about 1
abused 1
actress 1
affair 1
after 3
again 1
all 4
along 1
although 1
always 1
an 1
and 24
apparently 1
are 2
arm 1
arrive 1
as 3
aspiring 1
astounded 1
at 2
author 1
back 3
be 1
because 1
becomes 1
before 1
both 1
boyfriend 1
breaks 1
broken 1
brother 1
but 3
by 1
called 1
character 1
characters 1
cheating 1
children 2
christmas 3
completely 1
confidence 1
confronts 1
conversation 1
dad 8
dancer 2
dancerher 1
day 1
decides 1
dependent 1
depressed 1
do 1
does 2
doesnt 1
dont 1
ellen 1
em 3
emerald 1
emily 10
emotional 1
ends 1
eve 1
ever 1
fair 1
falls 1
family 4
father 1
favorite 1
find 1
fit 1
for 1
found 1
frankie 7
gains 1
get 3
gets 1
girl 1
girlfriend 1
go 1
goodbyes 1
gran 1
grandmother 2
had 1
half 2
handpuppet 1
hannah 1
has 2
having 2
he 8
her 17
herself 2
highly 1
him 4
his 2
holiday 1
home 3
hospital 1
house 1
how 1
if 1
imaginative 1
implied 1
in 2
insecure 1
into 3
is 10
it 1
julie 1
just 1
kissing 1
left 2
lives 1
london 2
loses 1
lot 1
love 2
main 1
maxie 2
meet 1
more 1
morning 1
mother 2
move 1
moving 1
much 1
mum 2
mumsarah 1
name 1
never 1
new 2
next 1
not 1
obnoxious 1
of 3
often 1
on 6
one 1
only 1
or 1
out 1
overhears 1
owns 1
park 1
partner 1
passionately 1
present 1
presents 1
princess 1
puppet 1
quite 2
real 1
realizes 1
receive 1
reindeer 2
reject 1
relationship 1
rest 1
return 1
returned 1
rude 1
runs 3
sarah 4
scared 1
scotland 1
secret 1
selfish 1
sending 1
sensitive 1
she 4
siblings 1
sister 2
soon 2
special 1
stepdad 2
stops 1
story 1
struggle 1
support 1
swimming 1
take 3
takes 2
technically 1
tell 1
that 4
the 12
their 10
them 3
they 4
to 14
travels 1
under 1
understand 1
up 3
very 2
visit 3
vita 3
walks 1
was 2
way 1
weight 2
well 1
when 3
where 1
which 1
who 1
will 1
with 3
within 1
without 1
would 2
year 1
young 2
