2046305
/m/06hbsl
/m/06hbsl
Stephen Baxter
2003-03-03
1885 1
2001 2
2037 2
3001 1
a 18
abdikadir 6
abdikadirs 1
able 1
accept 1
advanced 1
adviser 1
afghan 1
afghanistan 1
ago 1
agreed 1
agrees 1
alexander 4
alexanders 2
alive 3
all 3
alliance 1
along 1
also 2
american 3
an 9
and 41
another 1
any 1
apartment 1
apes 1
appear 1
are 17
army 6
arrived 1
arrives 2
as 9
asia 2
astrologer 1
astronaut 1
at 7
atmosphere 1
attempts 2
australopithecus 1
babylon 6
back 1
backup 1
badly 1
barely 1
based 1
battle 3
bay 1
be 1
been 3
before 2
being 1
believe 1
believes 2
beneath 1
between 1
bird 3
bisesa 9
blast 1
book 1
both 2
british 8
broadcasting 1
burying 1
but 7
by 12
camp 1
capital 1
captain 1
captured 1
cart 1
casey 5
catches 1
caused 1
central 2
chain 1
chapter 1
chief 2
china 1
city 2
clarkes 1
clearly 1
clue 1
coincided 1
commander 1
committing 1
communicate 1
communication 1
communications 1
comprises 1
confronts 1
confusion 1
conglomerate 1
contact 2
control 1
convinces 1
cosmonauts 4
craft 1
crash 1
crater 2
created 1
crew 1
crewed 1
damaged 1
daughter 2
dead 1
decapitated 1
decide 2
defy 1
destroyed 1
devotes 1
different 3
disagrees 1
disaster 1
discontinuity 1
discontinuitytime 1
discover 1
discovered 1
ditch 1
do 1
does 1
dutt 1
earlier 1
ears 1
earth 4
earths 1
east 1
eastern 1
empire 1
encounters 1
entities 2
equipment 2
escorted 1
establish 2
established 1
even 1
events 1
eventually 2
examine 2
exiting 1
expedition 1
explain 2
explore 1
exploring 1
eyes 2
fact 1
factor 1
filled 1
firearms 1
fires 1
fit 1
five 1
floating 1
for 4
forced 1
forces 3
form 1
fort 2
fortress 1
found 1
from 9
frontier 1
garrison 1
genetic 1
genghis 1
grasper 1
great 1
greek 1
ground 1
grove 2
gun 1
gurkhas 1
happened 2
has 5
have 5
he 2
heading 2
heaven 1
height 1
held 1
helicopter 1
help 1
her 12
him 5
his 4
home 1
hominids 1
hope 1
houses 1
humans 3
hypothesise 1
identical 1
immediately 1
implies 1
imprisoned 1
in 16
india 2
infant 1
informs 1
initially 1
injured 1
intended 1
intends 1
international 1
interpreter 1
into 2
is 15
it 5
jamrud 1
josh 3
keeps 1
khan 8
kill 1
kipling 1
known 4
kolya 6
land 1
language 1
large 1
larger 1
lead 2
least 1
leave 1
lies 1
like 1
little 3
loaded 1
look 1
lost 3
lt 1
macedonian 1
macedonians 1
manage 1
manages 3
manner 1
many 1
marduk 4
meanwhile 1
mediterranean 1
meet 2
mentioned 1
met 1
metal 1
military 1
million 1
mir 1
modern 2
molten 1
mongol 1
mongolian 2
mongolians 1
mongols 4
mother 1
musa 2
myra 1
name 1
near 2
nearby 1
never 1
new 2
next 1
no 1
north 2
northern 2
not 1
novel 1
now 2
nuclear 1
observer 1
odyssey 3
of 17
officer 2
omar 1
on 3
only 1
onto 1
or 2
orb 7
orbit 1
orbs 2
other 2
othic 1
outnumbered 1
own 1
pakistan 1
part 1
parties 2
patrolled 1
peacekeepers 1
penultimate 1
perhaps 1
periods 3
photographs 1
pilot 2
place 2
plan 1
posts 1
pouring 1
power 2
prepares 1
prevailed 1
previously 1
probably 1
province 1
punishes 1
radio 5
reach 1
realise 1
rebuild 1
rebuilding 1
receives 1
reenter 1
relatively 1
reporter 1
request 1
requests 1
retreat 1
returned 1
returning 2
reveals 1
rpg 1
ruddy 2
rudyard 1
russian 2
sable 8
scavenged 1
sea 1
seeker 1
seen 2
sees 1
sent 1
sepoys 1
shape 1
she 3
shifts 1
shot 1
should 2
side 2
signal 2
signals 1
silver 1
similar 1
simultaneously 1
sky 1
slip 1
soldiers 4
some 3
somewhere 1
sort 1
source 2
space 4
speaks 1
spend 1
spotted 1
stated 1
station 1
stillturbulent 1
stillunknown 1
stop 1
strange 1
studying 1
suggests 1
suicide 1
supplied 1
survivors 1
tactics 1
take 5
taken 1
takes 2
taught 1
temple 2
temples 1
than 2
that 14
the 84
their 1
them 5
then 1
there 2
they 14
this 4
those 2
three 2
throne 1
tide 1
time 5
times 1
timeslip 1
to 37
together 1
toward 2
towns 1
trading 1
transmission 1
treachery 1
troops 1
turn 1
two 3
un 1
unaided 1
unbelieving 1
uninjured 1
universe 1
unknown 1
up 1
upon 2
using 4
vicinity 1
villager 1
visitors 1
waiting 1
wants 1
warning 1
warrant 2
warrior 1
were 2
west 1
western 1
what 2
when 1
where 2
which 4
while 3
whilst 1
white 1
who 3
whom 1
whos 1
whowhat 1
why 2
will 1
with 8
work 1
world 2
worried 1
would 1
writer 1
year 2
years 2
yehlu 1
young 1
ziggurats 1
