30354964
/m/0g5rmj5
/m/0g5rmj5
David Weber
1999
2007 1
21st 1
25th 1
30 1
4 1
400 1
a 30
ability 1
about 2
accidental 1
alien 1
allows 1
almost 1
also 2
an 3
and 22
any 1
anywhere 2
apparent 1
are 4
area 1
arrival 1
arrived 1
as 5
aston 1
at 1
atmosphere 1
attempt 1
await 1
away 1
back 1
badly 1
battle 3
be 1
became 1
becomes 1
before 2
bioweapon 2
blood 1
both 2
brain 1
by 8
came 1
captain 1
captured 1
carolina 1
caused 1
centuries 2
century 2
certainly 1
chapters 1
chasing 1
circular 1
colonel 1
coma 1
concentrates 1
confirms 1
convinced 1
couple 1
crash 1
crashed 1
create 1
created 1
crew 1
crewed 2
cruelly 1
cruise 1
cyborg 1
days 1
dead 1
deal 1
death 1
defeat 1
desperate 1
desperation 1
destroy 2
destroys 1
dick 5
dicks 1
died 1
early 1
earth 3
encounter 1
enemy 2
engineer 1
enslave 1
ensuring 1
escort 1
eventually 1
eyes 1
failed 1
feeding 1
few 1
fighter 4
fighters 1
final 3
finds 1
five 1
flash 1
for 1
force 3
forty 1
from 3
get 1
go 1
government 1
great 1
group 1
growing 1
hardly 1
has 2
hate 1
hatreds 1
have 3
he 3
heal 1
healing 2
helps 1
her 6
herself 1
hiding 1
him 1
himself 1
his 2
hole 1
home 1
host 1
however 1
human 6
humanity 6
humans 2
impossible 1
in 20
inculcating 1
influence 1
informs 1
injects 1
injured 1
intact 1
into 2
involvement 1
is 11
isnt 1
it 4
its 3
itself 2
kanga 7
kangas 2
kill 1
know 2
knowing 1
landing 1
larger 1
lasted 1
later 2
leonovna 1
lethal 2
letting 1
lightmonths 1
limited 1
listed 1
looking 1
losing 1
love 1
ludmilla 5
made 1
many 2
marines 1
matters 1
means 1
minds 1
minions 1
months 1
monument 1
more 1
mountains 1
mutated 1
navy 2
near 1
new 1
next 2
night 1
no 1
north 1
not 1
now 1
ocean 1
of 18
on 2
one 1
only 1
opens 1
or 1
out 2
outer 2
outlines 1
over 1
own 3
pacific 1
partially 1
particular 1
passing 1
pilot 2
place 2
plans 3
plutonium 1
president 2
prevented 1
process 1
psychopathic 1
race 2
racial 1
read 1
recovers 1
remains 1
rescued 1
results 1
retirement 1
reveal 1
reveals 1
reverse 1
revives 1
right 1
risk 1
russian 1
sample 1
save 1
seal 1
she 6
ship 1
ships 1
silent 1
single 1
singlehanded 1
sky 1
slip 1
small 1
solar 1
sometime 1
southern 1
space 1
spared 1
spends 1
starts 1
stopped 1
story 2
struck 1
successful 1
survived 1
survives 1
symbiote 2
system 1
takes 1
task 1
telepathic 1
tells 2
ten 1
tender 1
terran 1
than 1
that 4
the 48
theft 1
their 2
theory 1
there 1
they 5
this 1
thousands 1
threat 1
through 1
time 3
to 17
trance 1
travel 1
tried 1
troll 10
trolls 3
try 1
two 1
untried 1
us 4
using 1
very 1
violently 1
visits 1
waiting 1
wakes 1
war 3
warriors 1
warships 1
was 1
ways 1
weapon 1
were 1
when 2
which 3
while 3
who 2
will 3
wipe 2
with 6
without 1
wont 1
world 2
wound 1
xenophobic 1
yacht 3
years 2
young 1
younger 1
