8008903
/m/026ncts
/m/026ncts
Georges Bataille
1957
a 12
abject 1
activist 1
against 1
alcoholic 1
all 1
also 1
an 1
and 10
arrive 1
as 1
associations 1
at 4
barcelona 1
beneath 1
between 2
but 1
by 2
candlelit 1
captured 1
catalans 1
choose 1
chooses 1
city 1
civil 1
cliff 1
come 1
commander 1
commendatore 1
commitment 1
conscience 1
copulate 1
deaths 1
decay 1
degeneracy 1
description 1
different 1
dirty 5
disease 1
don 3
dorothea 1
down 1
drag 1
dreamlike 1
during 2
encounter 1
end 1
endurance 1
engaged 1
english 1
ethical 1
excrement 1
extreme 1
father 1
fever 1
first 1
followed 1
for 3
francisco 1
franco 1
friend 1
from 1
general 2
goes 1
graveyard 1
group 1
had 1
hand 1
has 3
he 3
health 1
hell 1
henri 1
her 7
herself 1
him 1
his 3
hitler 1
hometown 1
hotel 1
if 1
in 8
incontinent 1
instead 1
introduced 1
is 9
jew 1
juan 3
karl 1
killed 1
lazare 3
leaves 1
lending 1
london 1
looking 1
martyrdom 1
marx 1
marxist 1
mud 1
myth 1
narrator 1
novel 1
nursed 1
of 13
off 1
on 1
one 2
or 1
outlived 1
overlooking 1
paris 3
political 1
politically 1
preparing 1
previously 1
probable 1
prospective 1
rat 1
realises 1
repeatedly 1
resistance 1
respects 1
return 1
returns 1
room 1
scene 1
see 1
sees 1
sending 1
sex 2
she 1
sickbed 1
sins 1
social 1
spanish 2
statue 1
story 1
street 1
strike 1
subsequently 1
that 2
the 21
their 1
them 1
they 1
three 1
time 2
to 10
torn 1
torture 1
travels 1
tree 1
treves 1
troops 1
troppmann 5
two 1
unkempt 1
usefulness 1
values 1
victims 1
violent 1
vision 1
war 2
where 1
while 1
whilst 1
who 6
whom 1
whose 1
with 4
witness 1
woman 1
women 1
xnie 3
young 1
youth 1
