3603881
/m/09pbm3
/m/09pbm3
Christopher Golden
2002-07
{"/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 2
about 1
actions 1
aegeirie 1
aegir 2
agree 1
all 2
and 3
angeles 1
appear 2
are 2
as 4
be 1
beast 1
begin 1
beginning 2
begins 1
being 1
breeds 1
buffy 3
but 1
by 1
captured 1
council 1
creatures 2
decision 1
demons 2
discover 1
does 1
doing 1
eradicate 1
faith 1
followers 2
for 1
free 1
friendly 1
friends 1
from 1
has 1
her 3
humans 1
immense 1
in 6
including 1
innocent 1
into 1
is 1
jail 1
knows 1
later 1
latter 1
leading 1
los 1
more 1
moruach 2
names 1
none 1
not 1
of 4
once 1
order 1
quentin 1
question 1
released 1
sea 2
set 1
she 1
slay 1
some 1
soon 1
steps 1
strange 1
sunnydale 3
team 1
temporary 1
the 9
their 1
them 2
these 1
theyre 1
time 1
to 7
too 1
transform 1
travers 2
two 1
until 1
was 1
watcher 1
way 1
well 1
what 1
when 2
who 1
with 2
