5024135
/m/0c_c12
/m/0c_c12
Judy Blume
1972
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 15
able 2
about 3
according 1
acquainted 1
activities 1
actual 1
adopt 2
afraid 1
after 3
afterward 1
against 1
allergies 1
also 3
although 1
an 4
and 16
another 1
antagonized 1
anyway 1
appear 1
appears 1
arden 1
are 1
around 1
arrangement 1
as 3
at 3
attends 1
be 2
becomes 1
bedroom 1
been 1
befriends 1
being 1
belonging 1
betsy 1
bobby 1
books 2
born 1
box 1
boys 1
but 2
by 2
called 1
camp 3
campers 1
champion 2
comforted 1
comments 1
complete 1
confident 1
confront 1
conquer 1
courageous 1
cowardice 1
crossword 2
dark 1
daughter 1
day 1
deeply 1
discovers 1
do 1
does 1
dog 5
dogs 4
each 2
egran 1
egrans 3
ellis 1
empty 1
encouragement 1
entirely 1
entitled 1
envying 1
even 1
everyhing 1
exceptional 1
expecting 1
faced 1
family 4
father 1
fear 2
fearing 1
fearless 1
fears 4
fellow 1
fill 1
filled 1
for 2
forced 2
forces 1
fourth 1
friend 1
friends 1
from 3
george 1
ghosts 1
girl 1
girls 1
give 3
grade 1
gradually 1
great 1
group 1
guests 1
hand 1
has 2
hatcher 1
have 3
helps 1
her 19
house 1
however 2
idea 1
in 5
including 1
instructor 1
is 16
it 2
items 1
jane 1
jennifer 2
lessons 1
libby 1
lightning 1
litter 1
loves 1
many 4
marty 2
mask 1
mates 1
meets 1
merle 1
models 1
more 1
mouse 6
mrs 1
multiple 1
mumford 1
named 4
negative 1
neighboring 1
new 1
newsdate 1
newspaper 1
night 1
no 1
not 2
nothing 1
of 12
offensive 1
offered 1
older 1
on 2
one 3
only 1
ootch 1
opinions 1
other 5
others 1
out 2
own 1
owning 1
parents 1
party 1
personality 1
pet 3
peter 1
phenomenal 1
portion 1
position 1
pretending 1
pretends 1
prevent 1
prize 1
professor 1
promising 1
protests 1
pull 1
pulls 1
puppies 2
puzzle 2
quite 1
rather 1
relationship 1
reluctant 1
repairing 1
reside 1
reward 1
rival 1
secret 1
she 6
sheila 18
signs 1
since 1
sister 2
skilled 1
slam 2
sleeping 1
sleepover 1
slightly 1
smoothly 1
some 1
son 1
sondra 1
soon 1
spiders 1
spite 1
superfudge 1
swim 1
swimmer 1
swimming 4
take 1
takes 1
talented 1
talents 1
tales 1
tarrytown 1
terrify 1
that 7
the 22
their 1
them 1
these 2
they 1
things 1
this 2
though 1
through 1
to 17
tossing 1
toy 1
tries 1
trip 1
true 1
truth 1
tubman 2
turning 1
twins 1
two 1
unable 1
unforunately 1
up 3
urges 1
vacation 1
van 1
water 1
well 1
when 2
where 2
whereas 1
who 2
whoever 1
whose 1
winds 1
with 10
write 1
writes 1
writings 1
wrote 1
younger 1
yoyo 1
