23328624
/m/09k7b62
/m/09k7b62
Martha Ostenso
1925
a 1
about 1
all 1
and 2
another 1
archer 1
around 1
arrives 1
as 1
begins 1
blackmail 1
but 1
caleb 2
city 1
come 1
consequently 1
continues 1
control 2
country 1
even 1
failing 1
family 3
farm 2
from 1
gare 2
get 1
harder 1
has 1
he 2
him 1
his 5
how 1
in 2
is 3
jordan 1
learn 1
life 1
lind 1
losing 1
machinations 1
man 1
mark 1
nearby 1
of 3
over 3
plight 1
position 1
punishment 1
quickly 1
realize 1
retain 1
school 1
secure 1
she 4
son 1
stay 1
staying 1
strict 1
teacher 1
teaches 1
the 10
to 6
tries 1
uses 1
wants 1
what 1
when 1
while 1
wife 1
with 3
young 1
