7334321
/m/025zhmx
/m/025zhmx
Minette Walters
1993
28 1
a 3
about 1
abstract 1
after 1
agrees 1
an 1
and 4
aspects 1
believe 1
bodies 1
book 1
by 1
case 1
comes 1
concealing 1
conducting 1
cradling 1
crime 1
discover 1
dismembered 1
enlists 1
even 1
expoliceman 1
floor 1
for 2
found 1
from 1
gradually 1
hal 1
haunted 1
having 1
hawksley 1
he 1
help 1
her 5
imprisoned 1
in 1
innocence 1
interviews 1
into 1
investigated 1
is 3
its 1
journalist 1
leigh 1
life 1
limbs 1
martin 1
material 1
maybe 1
morbidly 1
mother 1
new 1
nicknamed 1
obese 1
of 3
old 1
olive 2
on 1
originally 1
own 1
police 1
pressure 1
previously 1
prisoner 1
produce 1
publisher 1
quest 1
rearranged 1
reluctantly 1
rosalind 2
sculptress 1
shapes 1
shattered 1
she 2
sister 1
some 1
something 1
still 1
that 1
the 7
their 1
them 1
to 4
troubled 1
truth 1
under 1
was 2
which 1
whilst 1
who 1
with 1
woman 1
write 1
year 1
