8728030
/m/027gjvv
/m/027gjvv
Georgette Heyer
1970
1th 1
a 7
abandoned 1
absence 1
accepted 1
admits 1
affairs 1
after 1
against 1
ago 1
almost 1
also 3
always 1
an 2
and 16
any 2
apparent 1
appropriate 1
around 1
arriving 1
as 5
ashley 1
asks 1
at 3
athletic 1
aunt 1
away 1
back 1
bad 1
basically 1
bath 1
be 1
become 1
begged 1
being 3
better 1
between 2
bill 1
blackmail 1
boarding 1
both 1
break 1
brother 4
but 3
by 5
called 1
can 1
cared 2
cary 2
century 1
character 1
charity 5
cherry 3
cherrys 3
childhood 1
company 1
compromise 1
compromised 1
conversation 2
cousins 1
declines 1
defended 1
des 1
desford 17
destroy 1
doings 1
dull 1
earl 1
easily 1
economy 1
emerges 1
encounters 1
engaged 2
engagement 1
even 1
failed 2
fallen 1
families 1
father 3
fears 1
finally 1
finds 1
for 4
friend 1
friendship 1
from 2
get 1
girl 2
granddaughter 1
grandfather 1
grandfathers 1
grounds 1
had 2
has 7
having 1
he 7
henrietta 10
her 13
him 2
his 13
home 2
hoping 1
house 1
housekeeper 1
however 1
if 1
ill 1
immensely 1
implication 1
in 10
interest 2
interfere 1
into 4
invented 1
is 9
it 2
its 1
judgment 1
just 1
last 3
later 3
learns 1
left 1
life 1
likely 1
listen 1
little 1
lived 1
london 3
look 1
lord 1
loved 1
loves 2
man 3
many 1
marriage 2
married 1
marry 3
marrying 1
matter 1
me 1
meets 2
mission 1
morals 1
more 1
mother 1
mr 1
much 1
narrative 1
neighbor 1
nethercott 2
nettlecombe 2
nine 1
nineteen 1
no 2
not 2
novel 4
of 8
off 1
old 2
older 1
on 4
opens 1
page 1
party 1
passion 1
pay 1
person 1
plight 1
plot 1
post 1
prefers 1
pretends 1
previously 1
problems 1
pronounces 1
propose 1
proposing 1
protests 1
real 1
recently 1
relatives 1
reproaches 1
reputation 2
rescue 1
resents 1
resolves 1
responsibility 1
return 1
revolves 1
road 1
running 1
same 1
save 1
say 1
saying 1
school 1
scrapes 1
season 1
send 1
servant 1
she 5
should 1
shown 1
shows 2
silverdale 1
simon 6
since 1
sister 1
so 2
stay 1
steane 3
straight 1
takes 3
tells 1
that 15
the 29
their 1
them 2
then 1
there 1
they 1
thickens 1
though 2
time 1
to 18
tracks 1
unattended 1
uncaring 1
unpaid 1
up 2
upon 1
used 1
vigorously 1
viscount 2
viscounts 1
visits 1
was 1
way 1
wealthy 2
whatever 1
when 2
while 1
who 3
whom 2
wilfred 1
will 2
wish 1
with 5
woman 1
wooed 1
word 1
words 1
wroxton 4
years 3
you 2
young 1
younger 2
