7463087
/m/02pcf78
/m/02pcf78
Charles Stross
2006-06
20th 1
21st 1
27th 1
a 13
accelerando 1
against 1
ages 1
agrees 1
aldershot 1
alien 1
all 1
also 1
an 1
and 5
are 3
as 5
assassination 1
attempt 1
barracks 1
based 3
been 2
before 1
begins 1
being 2
body 1
bulk 1
but 1
by 1
can 2
center 1
centre 1
centuries 1
century 2
chapter 2
clearcut 1
conform 1
conspiracy 1
constructed 1
context 1
copied 1
criminals 1
culture 2
dark 1
describe 1
detention 1
discovers 1
doing 1
early 1
engaged 1
everything 1
excision 1
experiment 3
exploits 1
facility 1
featured 1
first 1
for 2
forgotten 1
formerly 1
forming 1
foucault 1
founders 1
from 2
full 1
galaxy 1
gaze 1
given 1
glasshouse 2
glassroofed 1
guards 2
has 3
he 7
held 1
her 2
here 1
highsecurity 1
his 1
human 1
humanity 1
humans 1
idea 1
ideals 1
if 1
in 13
internalize 1
is 6
isolated 1
it 2
kind 1
last 1
late 1
leads 1
lifes 1
lived 1
male 1
many 1
memory 1
michel 1
mid1th 1
military 2
model 1
never 1
not 2
nothing 1
novel 3
of 10
omnipresent 1
on 3
originally 1
panopticon 1
participant 1
past 1
persons 1
philosopher 1
place 1
plethora 1
polities 1
polity 2
portrayed 1
prison 2
prisoners 2
process 1
program 2
question 1
radical 1
raged 1
realises 1
recovering 1
recreate 1
reeve 1
refers 2
rehabilitation 1
remembers 1
represent 1
robin 1
role 1
routers 1
see 1
seems 1
series 1
she 3
signup 1
sinister 1
slowly 1
social 1
societal 1
societies 1
spread 1
story 1
stross 2
struggle 1
such 1
survivor 1
suspect 1
suspecting 1
suspects 1
takes 1
targeted 1
technology 1
tell 1
tend 1
term 1
that 9
the 35
then 1
this 1
though 1
thought 1
through 1
throughout 1
times 1
to 11
transferred 1
traumatic 1
type 1
uk 1
unfolds 1
unknown 1
used 2
using 1
very 1
war 1
wars 1
was 2
watching 1
way 2
what 1
which 3
will 1
with 1
woman 1
wormhole 1
years 1
